Days,MAE,MSE,RMSE,R²
15,2.4349679952156715,13.230059666248048,3.637314897867388,0.8522355885733597
15,2.604553330956641,15.590868505127434,3.9485273843709674,0.8258680946923227
15,2.1180291181099586,10.909455469329348,3.302946482964771,0.8781540438046346
15,1.9175699574681864,8.854527924675935,2.975655881427813,0.9011052006139425
15,1.5934956980645327,6.40319027404191,2.5304525828479596,0.9284837959881793
15,1.588052292774373,5.955179777075929,2.4403237033385405,0.9334875526202006
15,1.9220041508448558,8.100217234865704,2.8460880581713743,0.9095299745170214
15,1.6913570926628407,7.108276093378956,2.6661350478509065,0.9206088051035521
15,2.464545912884562,13.043560555335064,3.611586985707954,0.8543185662698514
15,2.060875923131503,9.138902237712818,3.0230617323688276,0.8979290689180025
