Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno Bruto (%),Retorno Liquido (%),Max Drawdown (%),Sharpe Ratio,Total Custos (R$),Total Impostos (R$),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Trading Realista (B3),2,-37.62591631332073,-37.69084994679541,-53.372524869482895,-0.7354847126375015,6.49336334746717,0.0,18.804249,21.148592,19.66034334065934,BEEF3.SA,Janela_1
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,5.040336,6.289086,5.446948304132231,BEEF3.SA,Janela_2
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,5.6064367,9.201661,6.879472143922651,BEEF3.SA,Janela_3
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0689747,6.660537,3.785532271745152,BEEF3.SA,Janela_4
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7029243,4.909543,-0.6606110163541209,BRFS3.SA,Janela_1
True,Trading Realista (B3),4,81.84292634343386,81.5975499445526,-38.7417201349637,1.0780138624159177,24.537639888128865,0.0,6.9717183,15.996903,10.198464670523416,BRFS3.SA,Janela_2
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6592121,6.869656,1.3023699091176792,BRFS3.SA,Janela_3
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8779626,9.996121,4.770287357617729,BRFS3.SA,Janela_4
True,Trading Realista (B3),6,0.11134055324899238,-0.12838295018480494,-0.3627524345490929,-0.24262860840995737,23.97235034337895,0.0,51.49014,77.31321,60.617003329670325,VALE3.SA,Janela_1
True,Trading Realista (B3),80,-8.899244656725095,-12.236802591344567,-31.208419328996666,-0.3889973057904885,269.16973207453105,64.58606138741614,54.497383,80.76263,63.74900728374655,VALE3.SA,Janela_2
True,Trading Realista (B3),14,-0.18762100612479116,-0.755593690976366,-3.7657783246992103,-0.13117135757068046,56.79726848515818,0.0,52.22907,76.56425,60.863081530386744,VALE3.SA,Janela_3
True,Trading Realista (B3),104,-5.631511652614172,-10.258426107729957,-19.80687817882862,-0.4185683547367434,369.76777149774557,92.92367401383365,54.208355,79.61206,63.05473496952908,VALE3.SA,Janela_4
True,Trading Realista (B3),2,25.315014608107468,25.224904602264232,-29.458042459459303,0.7204783137332548,9.011000584324298,0.0,23.38044,30.463383,26.05622572252747,JBSS3.SA,Janela_1
True,Trading Realista (B3),2,23.491765003585915,23.402384297584486,-29.45804245945931,0.6835837576945563,8.938070600143435,0.0,38.097057,41.964863,39.64852490358127,JBSS3.SA,Janela_2
True,Trading Realista (B3),70,10.10325926042966,6.5530370991190106,-16.013846423577853,0.37004113347858025,256.2659325126085,98.7562836184567,13.238784,23.909794,17.26595779005525,JBSS3.SA,Janela_3
True,Trading Realista (B3),2,18.433635361840732,18.346277907696003,-29.458042459459303,0.5779666289925319,8.735745414473628,0.0,51.82576,59.28817,54.73335055955678,JBSS3.SA,Janela_4
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8810544,9.862152,7.48390134010989,SOJA3.SA,Janela_1
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,6.883544,12.485547,8.995494668595041,SOJA3.SA,Janela_2
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,7.2652254,13.099131,9.637284757458564,SOJA3.SA,Janela_3
True,Trading Realista (B3),32,9.06676218264729,7.788781156664282,-9.082747178418922,0.6181705474589922,125.51833206254436,2.2797705357571405,8.799893,14.824133,11.10086795567867,SOJA3.SA,Janela_4
True,Trading Realista (B3),4,14.155843135924515,13.9763315773837,-25.810229674998304,0.5417201430359032,17.951155854081577,0.0,41.66227,56.85207,49.054541835164834,SUZB3.SA,Janela_1
True,Trading Realista (B3),2,13.947530440511164,13.861967428334957,-25.810229674998315,0.539030995471828,8.556301217620446,0.0,43.15302,60.011135,51.67431404132232,SUZB3.SA,Janela_2
True,Trading Realista (B3),10,12.265354938786022,11.748043793428678,-25.810229674998318,0.4787774142773683,43.14989984316029,8.58121469257526,39.24462,56.177994,47.535429618784526,SUZB3.SA,Janela_3
True,Trading Realista (B3),2,13.970342732619592,13.884770595526552,-25.810229674998304,0.5414091814998224,8.557213709304783,0.0,42.11204,59.830193,51.07166357894737,SUZB3.SA,Janela_4
True,Trading Realista (B3),124,-10.533003974694093,-18.326318611358467,-31.04062691408604,-0.6463936375274123,430.17412722973336,349.1573364367032,16.801546,23.889502,19.55174392032967,GGBR3.SA,Janela_1
True,Trading Realista (B3),54,-2.1199213156062067,-4.865584362343506,-11.865105544697917,-0.298718797206956,205.86197965870323,68.70432501502754,16.51914,23.479595,19.200830234159778,GGBR3.SA,Janela_2
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,15.493096,21.904821,17.97131829558011,GGBR3.SA,Janela_3
True,Trading Realista (B3),2,-1.2400344433772443,-1.3195224295998924,-1.3195224295998924,-0.8702236673383237,7.94879862226491,0.0,16.174135,22.828226,18.785035648199447,GGBR3.SA,Janela_4
True,Trading Realista (B3),2,47.62579377633547,47.52675945882493,-38.692553711039515,0.9802463157931612,9.903431751053418,0.0,24.143084,30.449516,26.192927395604393,CSNA3.SA,Janela_1
True,Trading Realista (B3),2,46.518410659068046,46.41981929480442,-38.692553711039515,0.9658689332254701,9.85913642636272,0.0,24.432217,32.489716,27.035217162534437,CSNA3.SA,Janela_2
