Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-01-05,Compra,16.979860305786133,16.98155829181671,588.6385588545782,9996.0,3.9999999999999996,0.0,,,,,
2023-01-06,Venda,17.237850189208984,17.236126404190063,588.6385588545782,,4.058339442719112,10141.790267355062,10145.848606797781,145.79026735506193,0.0,10141.790267355062,10145.848606797781
2023-01-13,Compra,17.46868324279785,17.47043011112213,580.2795630540415,10137.73355124812,4.056716106942024,0.0,,,,,
2023-01-16,Venda,17.72667694091797,17.724904273223878,580.2795630540415,,4.114159882736426,10280.382715403397,10285.399706841066,143.55199571020944,0.9028315549323279,10280.382715403397,20431.248313638847
2023-01-20,Compra,17.84888458251953,17.850669470977785,575.679840973177,10276.270562317237,4.112153086161358,0.0,,,,,
2023-01-23,Venda,17.882829666137695,17.88104138317108,575.679840973177,,4.1175020239594895,10287.632508541135,10293.755059898724,13.366995557527233,2.005049333629085,10287.632508541135,30725.00337353757
2023-01-31,Compra,18.093292236328125,18.095101565551758,568.3039367468814,10283.51745553772,4.115053003416453,0.0,,,,,
2023-02-02,Venda,17.44831657409668,17.44657174243927,568.3039367468814,,3.9659821615860538,9910.98942180355,9914.955403965136,-372.52803373417015,0.0,9910.98942180355,0.0
2023-02-08,Compra,16.294151306152344,16.29578072128296,607.9503152061837,9907.025026034828,3.9643957687214195,0.0,,,,,
2023-02-09,Venda,16.27378273010254,16.27215535182953,607.9503152061837,,3.9570647900915,9888.70491043866,9892.661975228752,-18.32011559616749,0.0,9888.70491043866,0.0
2023-02-14,Compra,16.328094482421875,16.329727291870118,605.322382413311,9884.749428474484,3.9554819641754637,0.0,,,,,
2023-02-15,Venda,16.436725616455078,16.435081943893433,605.322382413311,,3.979409182974224,9944.543548252588,9948.522957435562,59.794119778103095,0.0,9944.543548252588,9948.522957435562
2023-02-16,Compra,16.219465255737305,16.22108720226288,612.8174768363587,9940.565730833287,3.9778174193010347,0.0,,,,,
2023-02-17,Venda,16.144784927368164,16.143170448875427,612.8174768363587,,3.957126793047642,9888.859855826058,9892.816982619106,-51.705875007228165,0.0,9888.859855826058,9948.522957435562
2023-03-03,Compra,16.687923431396484,16.689592223739623,592.2795583838911,9884.904311883727,3.955543942330423,0.0,,,,,
2023-03-06,Venda,16.565719604492188,16.564063032531738,592.2795583838911,,3.9242223751803333,9806.631715575653,9810.555937950834,-78.27259630807342,0.0,9806.631715575653,0.0
2023-03-08,Compra,16.226253509521484,16.227876134872435,604.0660516149843,9802.709062889424,3.922652686230261,0.0,,,,,
2023-03-10,Venda,15.825693130493164,15.824110561180115,604.0660516149843,,3.8235231948044177,9554.984463816241,9558.807987011045,-247.72459907318324,0.0,9554.984463816241,0.0
2023-03-14,Compra,15.446908950805664,15.448453641700745,618.2600984896513,9551.162470030715,3.8219937855264963,0.0,,,,,
2023-03-15,Venda,15.652318954467772,15.650753722572325,618.2600984896513,,3.870494615181937,9672.366043339662,9676.236537954843,121.20357330894609,0.0,9672.366043339662,9676.236537954843
2023-03-16,Compra,15.412673950195312,15.414215217590332,627.2454977720091,9668.497096922325,3.8689464173358643,0.0,,,,,
2023-03-17,Venda,15.522225379943848,15.520673157405854,627.2454977720091,,3.894108944149478,9731.378251429547,9735.272360373696,62.88115450722137,0.0,9731.378251429547,19411.50889832854
2023-03-22,Compra,15.299013137817385,15.300543039131167,635.7608141914252,9727.485700128975,3.8925513005718186,0.0,,,,,
2023-03-23,Venda,15.550642013549805,15.54908694934845,635.7608141914252,,3.9542000715404133,9859.812635249073,9885.500178851034,154.0602786505193,21.73334353042061,9859.812635249073,29297.009077179573
2023-03-24,Compra,15.485939025878906,15.487487619781493,636.3762123436019,9855.868710194973,3.943925054099629,0.0,,,,,
2023-03-27,Venda,15.53626537322998,15.534711746692658,636.3762123436019,,3.954368408483973,9878.051961410478,9885.921021209933,26.09794260647668,3.9146913909715018,9878.051961410478,39182.93009838951
2023-03-30,Compra,16.05389976501465,16.05550515499115,614.9978244413174,9874.100740625914,3.9512207845641907,0.0,,,,,
2023-03-31,Venda,15.960436820983888,15.95884077730179,614.9978244413174,,3.9258609434583933,9810.726497702526,9814.652358645984,-63.37424292338816,0.0,9810.726497702526,39182.93009838951
2023-04-03,Compra,15.744756698608398,15.746331174278259,622.7991840488484,9806.802207103445,3.92429059908101,0.0,,,,,
2023-04-05,Venda,15.51469612121582,15.5131446516037,622.7991840488484,,3.864629532420216,9657.70920151812,9661.57383105054,-149.09300558532465,0.0,9657.70920151812,0.0
2023-04-11,Compra,16.535587310791016,16.537240869522094,583.764014445083,9653.846117837513,3.863083680607248,0.0,,,,,
2023-04-13,Venda,16.283960342407227,16.282331946372985,583.764014445083,,3.802015784616846,9501.237445757499,9505.039461542116,-152.60867208001412,0.0,9501.237445757499,0.0
2023-04-18,Compra,16.176116943359375,16.17773455505371,587.0684129758033,9497.436950779196,3.800494978302999,0.0,,,,,
2023-04-19,Venda,16.363040924072266,16.361404619979858,587.0684129758033,,3.8421055377226203,9601.42173876883,9605.263844306552,103.9847879896328,0.0,9601.42173876883,9605.263844306552
2023-04-20,Compra,16.046707153320312,16.048311824035643,598.0430387512145,9597.581170073321,3.8405686955075313,0.0,,,,,
2023-04-25,Venda,15.449990272521973,15.44844527349472,598.0430387512145,,3.695534062137047,9235.139621280481,9238.835155342618,-362.4415487928399,0.0,9235.139621280481,9605.263844306552
2023-04-28,Compra,15.64410400390625,15.645668414306641,590.0320344888935,9231.445565431968,3.694055848512192,0.0,,,,,
2023-05-02,Venda,15.996386528015137,15.994786889362336,590.0320344888935,,3.774974659818695,9433.66167488692,9437.436649546738,202.21610945495158,0.0,9433.66167488692,9437.436649546738
