,Preço,ROA,ROE,Margem Líquida,P/L,VP,Preço_anterior
2020-01-02,11.356285095214844,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.356285095214844
2020-01-03,11.170296669006348,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.356285095214844
2020-01-04,11.170296669006348,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.170296669006348
2020-01-05,11.170296669006348,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.170296669006348
2020-01-06,11.1429443359375,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.170296669006348
2020-01-07,11.317994117736816,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.1429443359375
2020-01-08,11.361754417419434,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.317994117736816
2020-01-09,11.301582336425781,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.361754417419434
2020-01-10,11.45474910736084,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.301582336425781
2020-01-11,11.45474910736084,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.45474910736084
2020-01-12,11.45474910736084,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.45474910736084
2020-01-13,11.94707202911377,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.45474910736084
2020-01-14,11.71732234954834,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.94707202911377
2020-01-15,11.542271614074707,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.71732234954834
2020-01-16,11.651678085327148,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.542271614074707
2020-01-17,11.7993745803833,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.651678085327148
2020-01-18,11.7993745803833,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.7993745803833
2020-01-19,11.7993745803833,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.7993745803833
2020-01-20,12.182295799255371,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.7993745803833
2020-01-21,11.925192832946777,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,12.182295799255371
2020-01-22,12.072891235351562,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.925192832946777
2020-01-23,12.122122764587402,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,12.072891235351562
2020-01-24,11.854079246520996,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,12.122122764587402
2020-01-25,11.854079246520996,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.854079246520996
2020-01-26,11.854079246520996,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.854079246520996
2020-01-27,10.913192749023438,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.854079246520996
2020-01-28,11.04995059967041,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,10.913192749023438
2020-01-29,11.017127990722656,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.04995059967041
2020-01-30,11.345344543457031,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.017127990722656
2020-01-31,10.967893600463867,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,11.345344543457031
2020-02-01,10.967893600463867,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,10.967893600463867
2020-02-02,10.967893600463867,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,10.967893600463867
2020-02-03,11.241409301757812,0.037478615761171966,1.1037104695070408,0.05399478042292739,8.680006107508115,2143463404.0,10.967893600463867
