,Preço,ROA,ROE,Margem Líquida,P/L,VP,Preço_anterior
2021-04-01,22.056262969970703,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,21.933124542236328
2021-04-02,22.056262969970703,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.056262969970703
2021-04-03,22.056262969970703,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.056262969970703
2021-04-04,22.056262969970703,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.056262969970703
2021-04-05,21.96933937072754,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.056262969970703
2021-04-06,22.2735652923584,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,21.96933937072754
2021-04-07,22.58503532409668,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.2735652923584
2021-04-08,22.910985946655273,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.58503532409668
2021-04-09,22.708168029785156,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.910985946655273
2021-04-10,22.708168029785156,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.708168029785156
2021-04-11,22.708168029785156,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.708168029785156
2021-04-12,23.360078811645508,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,22.708168029785156
2021-04-13,23.425270080566406,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,23.360078811645508
2021-04-14,24.12063980102539,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,23.425270080566406
2021-04-15,24.997095108032227,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,24.12063980102539
2021-04-16,24.200319290161133,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,24.997095108032227
2021-04-17,24.200319290161133,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,24.200319290161133
2021-04-18,24.200319290161133,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,24.200319290161133
2021-04-19,25.10574722290039,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,24.200319290161133
2021-04-20,25.38824462890625,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,25.10574722290039
2021-04-21,25.38824462890625,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,25.38824462890625
2021-04-22,25.5910587310791,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,25.38824462890625
2021-04-23,25.352025985717773,0.1024937898667781,9.260568397394483,0.05859906874108221,2.5603466306280356,2293803970.0,25.5910587310791
