Days,MAE,MSE,RMSE,R²
9,1.7054791844798027,6.4849082561614235,2.5465483023420985,0.9275710992352044
9,1.27847987472551,3.647805634564258,1.9099229394308708,0.9592582457620709
9,2.132583046695495,9.689990947332047,3.1128750291863705,0.8917740447619986
9,1.1941840540876463,3.4758545736598783,1.864364388648281,0.9611787379198709
9,1.138526884434373,3.078007090480761,1.7544250028088293,0.9656222323906251
9,1.8633771715511167,7.246601885643822,2.691951315615463,0.919063867052883
9,1.1321959616462345,3.016861297948361,1.7369114249000612,0.9663051602389359
9,1.427695685999659,4.461841917140923,2.11230724970136,0.9501664036245747
9,2.0224020541568577,7.944777886261657,2.81864823741127,0.9112660523245267
9,1.8104429323854625,6.8134259622642475,2.6102540033997164,0.9239019398436898
