Ticker,Melhor Janela,Saldo Final,Retorno Liquido (%),Sharpe Ratio,Drawdown (%),Custos (R$),Impostos (R$),Modelo
BRFS3.SA,Janela_1,19081.13135185597,90.81131351855969,1.178119089368886,-29.870725960218024,335.2258157812812,1035.755184343588,LSTM Macro
SOJA3.SA,Janela_1,12854.276109094308,28.542761090943078,1.114086692540565,-13.11458171872791,495.4226127031065,448.5641316407422,LSTM Macro
CSNA3.SA,Janela_3,13363.619622514176,33.63619622514176,0.9804919555138732,-18.236387075236426,197.26548772026985,172.3088899238614,LSTM Macro
JBSS3.SA,Janela_1,11962.487047862216,19.62487047862216,0.9125380429781752,-10.339889642516496,534.6104558500324,316.9198065949156,LSTM Macro
SUZB3.SA,Janela_2,10680.65891876946,6.806589187694589,0.3543215667297458,-20.79661868926884,279.7684760894414,159.76956961361714,LSTM Macro
VALE3.SA,Janela_4,10303.54185184286,3.035418518428614,0.2942521517733457,-6.427058196510788,196.9549296845072,103.32017887678714,LSTM Macro
GGBR3.SA,Janela_3,10187.211688235991,1.8721168823599328,0.1815309578845837,-10.209983991822863,263.333502225992,97.98131266556612,LSTM Macro
BEEF3.SA,Janela_4,9671.746187130251,-3.2825381286974884,0.0676596860596905,-24.79665169202364,119.24130511541397,67.04230911826701,LSTM Macro
CSNA3.SA,Janela_1,14752.675945882493,47.52675945882493,0.981604483165982,-38.69255371103952,9.903431751053418,0.0,LSTM Micro
JBSS3.SA,Janela_2,12340.238429758449,23.402384297584486,0.6845316529210403,-29.45804245945931,8.938070600143435,0.0,LSTM Micro
SUZB3.SA,Janela_1,11409.03831755329,14.090383175532898,0.5457175319561131,-25.810229674998304,8.565441503622765,0.0,LSTM Micro
BEEF3.SA,Janela_1,10906.559161426396,9.065591614263958,0.3586784965046031,-24.79664500325523,110.25513845154762,166.06818745871698,LSTM Micro
GGBR3.SA,Janela_4,9966.13588908448,-0.3386411091551963,0.0733853219342767,-20.940497609626743,369.1686831127137,345.04929946349966,LSTM Micro
BRFS3.SA,Janela_1,10000.0,0.0,0.0,0.0,0.0,0.0,LSTM Micro
SOJA3.SA,Janela_1,10000.0,0.0,0.0,0.0,0.0,0.0,LSTM Micro
