Experimento,R² (média),RMSE (média),MSE (média),MAE (média),Sharpe (média),Max DD (média),Retorno (média)
Preço,0.9351,0.6089,0.5102,0.4762,0.1101,-23.1956,0.3848
Macro,0.9080,0.8136,0.9903,0.6529,0.6354,-16.7240,22.6308
Micro,-107.7943,12.2875,441.7002,12.1532,0.3244,-21.7898,11.1210
MacroMicro,-8.0910,4.5940,39.3874,4.4539,0.4759,-18.1939,21.9198
