Experimento,R² (média),RMSE (média),MSE (média),MAE (média),Sharpe (média),Max DD (média),Retorno (média)
LSTM_Preço,0.9351,0.6089,0.5102,0.4762,0.1101,-23.1956,0.3848
LSTM_Macro,,,,,0.6354,-16.7240,22.6308
LSTM_Micro,,,,,0.3244,-21.7898,11.1210
LSTM_MacroMicro,,,,,0.4759,-18.1939,21.9198
Trans_Preço,0.8225,1.0696,,0.8291,0.3419,-13.4716,9.3612
Trans_Macro,,,,,0.7225,-18.8656,26.4143
Trans_Micro,,2.6860,,2.4119,0.7514,-22.6386,27.3348
Trans_MacroMicro,,2.8464,,2.5367,0.8275,-19.0489,21.3249
