Ticker,BuyHold_Ret(%),BuyHold_R$,Preço_Ret(%),Preço_R$,Macro_Ret(%),Macro_R$,Micro_Ret(%),Micro_R$,MacroMicro_Ret(%),MacroMicro_R$
BEEF3.SA,-39.88,-3987.78,,,,,7.05,704.70,-0.73,-73.29
BRFS3.SA,36.97,3696.78,4.51,451.19,80.10,8009.74,82.25,8224.83,82.25,8224.83
VALE3.SA,-6.56,-655.82,-3.09,-308.75,-2.80,-279.72,4.42,442.26,1.13,112.54
JBSS3.SA,25.22,2522.49,6.88,688.28,15.22,1521.95,16.89,1688.52,21.24,2123.94
SOJA3.SA,68.92,6892.41,45.73,4573.08,50.37,5036.52,45.53,4553.10,20.07,2007.43
SUZB3.SA,12.86,1285.90,-1.89,-188.98,12.65,1264.69,11.91,1190.72,-0.37,-36.98
GGBR3.SA,-1.70,-170.19,2.31,230.52,0.00,0.00,18.71,1870.61,15.08,1508.40
CSNA3.SA,51.58,5157.91,11.08,1107.53,29.37,2936.85,31.93,3193.08,31.93,3193.08
CARTEIRA,18.43,14741.71,8.19,6552.87,23.11,18490.02,27.33,21867.83,21.32,17059.94
MÉDIA,18.43,1842.71,9.36,936.12,26.41,2641.43,27.33,2733.48,21.32,2132.49
