Ticker,BuyHold_Ret(%),BuyHold_R$,Preço_Ret(%),Preço_R$,Macro_Ret(%),Macro_R$,Micro_Ret(%),Micro_R$,MacroMicro_Ret(%),MacroMicro_R$
BEEF3.SA,-39.88,-3987.78,-12.43,-1243.47,-3.28,-328.25,9.07,906.56,0.00,0.00
BRFS3.SA,36.97,3696.78,5.18,518.28,90.81,9081.13,0.00,0.00,81.60,8159.75
VALE3.SA,-6.56,-655.82,-17.39,-1739.14,3.04,303.54,-4.78,-477.87,-0.76,-75.56
JBSS3.SA,25.22,2522.49,7.98,798.08,19.62,1962.49,23.40,2340.24,25.22,2522.49
SOJA3.SA,68.92,6892.41,17.81,1781.32,28.54,2854.28,0.00,0.00,7.79,778.88
SUZB3.SA,12.86,1285.90,-6.14,-614.20,6.81,680.66,14.09,1409.04,13.98,1397.63
GGBR3.SA,-1.70,-170.19,4.10,409.81,1.87,187.21,-0.34,-33.86,0.00,0.00
CSNA3.SA,51.58,5157.91,3.97,397.17,33.64,3363.62,47.53,4752.68,47.53,4752.68
CARTEIRA,18.43,14741.71,0.38,307.85,22.63,18104.67,11.12,8896.78,21.92,17535.87
MÉDIA,18.43,1842.71,0.38,38.48,22.63,2263.08,11.12,1112.10,21.92,2191.98
