Date,Close
2020-01-02,8.783614158630371
2020-01-03,8.7935791015625
2020-01-06,8.669025421142578
2020-01-07,8.768671035766602
2020-01-08,8.813508987426758
2020-01-09,8.74874210357666
2020-01-10,8.848384857177734
2020-01-13,9.266890525817871
2020-01-14,9.16724681854248
2020-01-15,9.192153930664062
2020-01-16,9.246959686279297
2020-01-17,9.336641311645508
2020-01-20,9.695359230041504
2020-01-21,9.466175079345703
2020-01-22,9.525964736938477
2020-01-23,9.540910720825195
2020-01-24,9.411371231079102
2020-01-27,8.9679594039917
2020-01-28,8.972940444946289
2020-01-29,9.04269027709961
2020-01-30,9.102477073669434
2020-01-31,9.10745906829834
2020-02-03,9.06760025024414
2020-02-04,9.31671142578125
2020-02-05,9.466175079345703
2020-02-06,9.366534233093262
2020-02-07,8.9679594039917
2020-02-10,8.883259773254395
2020-02-11,9.2369966506958
2020-02-12,9.21706771850586
2020-02-13,9.232013702392578
2020-02-14,9.032726287841797
2020-02-17,9.127387046813965
2020-02-18,8.933083534240723
2020-02-19,8.908170700073242
2020-02-20,8.65906047821045
2020-02-21,8.320269584655762
2020-02-26,7.473299026489258
2020-02-27,7.5031914710998535
2020-02-28,7.363687992095947
2020-03-02,7.72813081741333
2020-03-03,7.773061275482178
2020-03-04,7.987732887268066
2020-03-05,7.633277416229248
2020-03-06,6.989264965057373
2020-03-09,5.895945072174072
2020-03-10,6.335269927978516
2020-03-11,5.74118185043335
2020-03-12,5.047246932983398
2020-03-13,5.59141206741333
2020-03-16,5.032270908355713
2020-03-17,4.887493133544922
2020-03-18,4.393251895904541
2020-03-19,4.34332799911499
2020-03-20,4.043788433074951
2020-03-23,3.804157257080078
2020-03-24,3.938948631286621
2020-03-25,4.403237342834473
2020-03-26,4.712761402130127
2020-03-27,4.592945575714111
2020-03-30,4.393251895904541
2020-03-31,4.642868995666504
2020-04-01,4.2434821128845215
2020-04-02,4.378275394439697
2020-04-03,4.143635272979736
2020-04-06,4.298397541046143
2020-04-07,4.553006649017334
2020-04-08,4.922440052032471
2020-04-09,4.772669315338135
2020-04-13,5.002316474914551
2020-04-14,5.107156276702881
2020-04-15,5.067217826843262
2020-04-16,5.087185859680176
2020-04-17,5.291872501373291
2020-04-20,5.216986656188965
2020-04-22,5.22697114944458
2020-04-23,5.211995601654053
2020-04-24,4.842562198638916
2020-04-27,5.037262439727783
2020-04-28,5.16207218170166
2020-04-29,5.341795444488525
2020-04-30,5.366756916046143
2020-05-04,5.122133255004883
2020-05-05,5.107156276702881
2020-05-06,5.057231903076172
2020-05-07,5.336803436279297
2020-05-08,5.456619739532471
2020-05-11,5.291872501373291
2020-05-12,5.082194805145264
2020-05-13,4.882500648498535
2020-05-14,4.887493133544922
2020-05-15,4.717754364013672
2020-05-18,5.0422563552856445
2020-05-19,5.077202320098877
