Ticker,Melhor Janela,Saldo Final,Retorno (%)
BRFS3.SA,Janela_1,18267.195643730498,82.67195643730498
PETR4.SA,Janela_2,15699.539592499515,56.99539592499515
CSNA3.SA,Janela_1,14816.405186267819,48.164051862678186
SOJA3.SA,Janela_1,14580.656717488002,45.80656717488002
JBSS3.SA,Janela_1,12535.021220166062,25.350212201660614
SUZB3.SA,Janela_2,11087.032987437018,10.870329874370181
GGBR3.SA,Janela_2,10583.54908138143,5.835490813814303
VALE3.SA,Janela_1,10000.0,0.0
