Days,MAE,MSE,RMSE,R²
18,1.248472292078895,3.6277419897350507,1.9046632221301094,0.9594823319412338
18,2.207914151588112,11.14281758187294,3.3380859158914618,0.875547660687749
18,2.3182318880907626,11.335837596992361,3.366873564153005,0.873391851261664
18,1.5934028856809506,5.562542924749121,2.358504383025209,0.9378728515754672
18,1.898895154845754,7.8266401860285155,2.797613301732124,0.9125855128287195
18,1.1996491899038229,3.55618467243752,1.8857848955905654,0.9602815444646633
18,2.03311488751934,9.56589617003958,3.0928782986143473,0.8931600426500733
18,1.831136415916872,7.844376945554043,2.800781488362497,0.9123874138773569
18,1.7105730471037977,6.568200459323556,2.562850065712693,0.9266408248235705
18,1.4935335072030569,5.4144515978684815,2.326897418853801,0.9395268600898155
