Days,MAE,MSE,RMSE,R²
1,0.47286641059539053,0.43131061872759646,0.6215560679550529,0.9826193302346444
2,0.5416196409982434,0.5670892971636952,0.7118574481654834,0.9770484694947467
3,0.5719118947611086,0.6662985420168486,0.7686466193556357,0.9731765591469573
4,0.6268817336753963,0.7754250975056325,0.8338055271734275,0.9686505834634186
