Data,Preço Real,Preço Previsto
2023-01-04,9.166814804077148,9.246919
2023-01-05,9.769413948059082,9.174944
2023-01-06,9.769413948059082,9.171429
2023-01-07,9.769413948059082,9.321537
2023-01-08,9.623330116271973,9.439423
2023-01-09,9.751153945922852,9.516334
2023-01-10,9.787674903869627,9.488448
2023-01-11,9.970280647277832,9.488417
2023-01-12,9.796805381774902,9.506406
2023-01-13,9.796805381774902,9.573987
2023-01-14,9.796805381774902,9.590579
2023-01-15,9.796805381774902,9.582962
2023-01-16,9.796805381774902,9.557036
2023-01-17,9.897238731384276,9.555537
2023-01-18,9.970280647277832,9.552852
2023-01-19,10.225929260253906,9.573249
2023-01-20,10.225929260253906,9.59415
2023-01-21,10.225929260253906,9.674904
2023-01-22,10.44505500793457,9.756754
2023-01-23,10.344621658325195,9.807629
2023-01-24,10.68244457244873,9.8717375
2023-01-25,10.591141700744627,9.918129
2023-01-26,10.591141700744627,10.069255
2023-01-27,10.591141700744627,10.145801
2023-01-28,10.591141700744627,10.204846
2023-01-29,10.499837875366213,10.176319
2023-01-30,10.317233085632324,10.172111
2023-01-31,10.68244457244873,10.135012
2023-02-01,10.554619789123535,10.030875
2023-02-02,10.563749313354492,10.071155
2023-02-03,10.563749313354492,10.131914
2023-02-04,10.563749313354492,10.1713295
2023-02-05,10.490707397460938,10.123027
2023-02-06,10.62766170501709,10.124069
2023-02-07,11.020264625549316,10.092318
2023-02-08,10.928961753845217,10.116345
2023-02-09,10.23505973815918,10.304075
2023-02-10,10.23505973815918,10.476521
2023-02-11,10.23505973815918,10.2650385
2023-02-12,10.463316917419434,9.965731
2023-02-13,10.819398880004885,9.801671
2023-02-14,11.166349411010742,9.876329
2023-02-15,11.184610366821287,10.096093
2023-02-16,11.303303718566896,10.44525
2023-02-17,11.303303718566896,10.719216
2023-02-18,11.303303718566896,10.906547
2023-02-19,11.303303718566896,10.972963
2023-02-20,11.303303718566896,11.011454
2023-02-21,11.184610366821287,11.013516
2023-02-22,11.02939510345459,11.015578
2023-02-23,10.91983127593994,10.966661
2023-02-24,10.91983127593994,10.854313
