Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno Bruto (%),Retorno Liquido (%),Max Drawdown (%),Sharpe Ratio,Total Custos (R$),Total Impostos (R$),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Trading Realista (B3),46,-13.39167569855772,-15.728382630071156,-30.0523806890072,-0.26418132977894193,178.2364355208621,55.434257630481106,7.261052,14.204969,9.922806017307693,BEEF3.SA,Janela_1
True,Trading Realista (B3),22,-27.449999682124638,-28.247068094100925,-34.78974007884913,-0.6158381700375294,79.70684119762853,0.0,7.2198777,14.300365,10.020755340220386,BEEF3.SA,Janela_2
True,Trading Realista (B3),18,-34.3224722238576,-35.0019966079436,-40.62809329676357,-0.713217115983232,67.95243840859968,0.0,7.470019,14.007347,10.092558787845302,BEEF3.SA,Janela_3
True,Trading Realista (B3),28,-1.4197019863606692,-3.2825381286974884,-24.796651692023637,0.0676596860596905,119.24130511541397,67.04230911826701,7.766442,13.953367,10.103750830470913,BEEF3.SA,Janela_4
True,Trading Realista (B3),54,104.52112351980838,90.81131351855969,-29.870725960218024,1.178119089368886,335.2258157812812,1035.7551843435879,6.8449244,15.089051,9.420179624175823,BRFS3.SA,Janela_1
True,Trading Realista (B3),60,96.50538467685212,84.98051443369089,-29.95278690124063,1.1453383835410098,356.2568169621509,796.2302073539707,6.285494,14.727695,9.250874086501378,BRFS3.SA,Janela_2
True,Trading Realista (B3),82,86.87427918738122,75.48027428568884,-23.876800358370375,1.1294249282253224,447.6690446462188,691.7314455230198,6.1214075,14.6781645,9.101421130110497,BRFS3.SA,Janela_3
True,Trading Realista (B3),34,74.07066486905413,69.54383653135329,-33.696757705055305,1.022080607429541,183.71265859010364,268.9701751799791,6.614627,14.773765,9.418077669252076,BRFS3.SA,Janela_4
True,Trading Realista (B3),88,-11.59099693622611,-15.440006643646557,-24.368340484809877,-0.6271423969288712,310.43293624835496,74.46803449368937,53.52188,77.702225,62.061254351648344,VALE3.SA,Janela_1
True,Trading Realista (B3),40,-2.892987167509964,-4.427970351179229,-28.235895502711156,-0.04399244964549129,147.98181692550426,5.516501441421711,54.956573,78.356316,63.30994135261709,VALE3.SA,Janela_2
True,Trading Realista (B3),44,-0.19816420205266694,-1.9613068584331084,-25.42771491158497,0.03351105328423226,163.5098396089263,12.804426029117757,54.861702,77.577576,63.12145345580111,VALE3.SA,Janela_3
True,Trading Realista (B3),48,6.038169604041559,3.035418518428614,-6.427058196510788,0.2942521517733457,196.95492968450716,103.32017887678714,52.350735,74.42712,60.39326072299169,VALE3.SA,Janela_4
True,Trading Realista (B3),124,28.140173103071632,19.62487047862216,-10.339889642516496,0.9125380429781753,534.6104558500324,316.9198065949156,14.343761,22.806393,17.260905875,JBSS3.SA,Janela_1
True,Trading Realista (B3),62,-3.458990309155743,-6.060454359656905,-13.782781090093286,-0.3865178139062285,225.08771659296897,35.058688457147504,14.207804,22.863144,17.09748996418733,JBSS3.SA,Janela_2
True,Trading Realista (B3),20,19.681646894100798,17.5974870440797,-29.458035715395404,0.5660738432963957,88.44343413207825,119.97255087003303,15.471413,23.007359,18.39307771270718,JBSS3.SA,Janela_3
True,Trading Realista (B3),28,9.58224320007701,8.350923848622859,-5.759172688168105,0.7204046033927333,112.29965228805405,10.832282857360575,13.692931,22.270067,16.760869040166206,JBSS3.SA,Janela_4
True,Trading Realista (B3),112,37.98262853438156,28.542761090943074,-13.11458171872791,1.114086692540565,495.4226127031065,448.5641316407422,9.079308,15.416859,11.384590373626374,SOJA3.SA,Janela_1
True,Trading Realista (B3),26,-1.0627828736988885,-2.0493875592411133,-10.069229115982417,-0.21746104857997883,98.66046855422245,0.0,8.618093,15.395418,11.065633679063362,SOJA3.SA,Janela_2
True,Trading Realista (B3),44,21.843739435221394,19.09859844405028,-8.344360905137641,0.9957854723408015,183.8086105847979,90.7054885323139,9.171429,14.910643,11.128437642265194,SOJA3.SA,Janela_3
True,Trading Realista (B3),78,21.519831921091445,17.338296462814686,-8.574455818344193,0.8772019027966229,322.69625176535544,95.4572940623199,8.939927,15.272707,11.312926034626038,SOJA3.SA,Janela_4
True,Trading Realista (B3),90,8.400912539048477,3.2154043501296656,-20.62712026923365,0.21371669268293908,366.96391170763025,151.58690718425086,37.30392,54.58172,45.843003791208794,SUZB3.SA,Janela_1
True,Trading Realista (B3),70,11.201969644725176,6.806589187694589,-20.79661868926884,0.35432156672974585,279.7684760894414,159.76956961361714,37.12746,54.22362,45.83983895867768,SUZB3.SA,Janela_2
True,Trading Realista (B3),60,1.0880846888335873,-2.93824491251331,-21.226271215016162,-0.022508687281715154,238.78037594294145,163.85258419174943,38.475132,54.642113,46.281740665745865,SUZB3.SA,Janela_3
True,Trading Realista (B3),52,6.64781708407505,4.1331217599703995,-19.929412450691796,0.25726218918945315,208.56933370052857,42.90019870993551,38.223255,53.852974,45.80297273130194,SUZB3.SA,Janela_4
True,Trading Realista (B3),116,8.48782579869032,0.46611215586874094,-15.256363704862775,0.11053831847866608,475.6458891443664,326.52547513779047,15.708063,19.89881,17.331336074175827,GGBR3.SA,Janela_1
True,Trading Realista (B3),64,2.440739219656025,-0.8520921624486073,-12.355693078107171,-0.014094135373678209,264.2036363883136,65.07950182214921,15.369028,19.660816,16.97476765426997,GGBR3.SA,Janela_2
True,Trading Realista (B3),66,5.485265031275521,1.8721168823599328,-10.209983991822863,0.18153095788458376,263.333502225992,97.98131266556611,15.498892,19.492947,17.016749653314918,GGBR3.SA,Janela_3
