Days,MAE,MSE,RMSE,R²
1,5.37180144363622,73.4742319610565,8.571711145451443,0.17937810000777066
1,4.878760819924048,61.57602127676257,7.847039013332517,0.31226729112785356
1,4.787238208829634,59.42136982000816,7.708525787724145,0.3363322566251338
1,4.377607544307015,49.9235666082102,7.065661087839566,0.44241169952738324
1,4.622245053077874,55.691141899365846,7.4626497907489835,0.37799457779384604
1,4.485279398689985,53.0014111772343,7.2802068086857465,0.4080357508418101
1,4.9838326048298995,62.81008184893702,7.925281184219082,0.29848428179166886
1,5.051472643375923,69.01451772112101,8.307497681078281,0.22918792937322308
1,5.121763843422819,64.60184280938496,8.037527157614148,0.27847238772005334
1,4.70379678837651,58.48067433212835,7.647265807602633,0.34683874063352993
