Ticker,Janela,Estratégia,Previsões Razoáveis,Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-02_PETR4.SA_Janela_2,Compra,19.30591583251953,666.7462118589002,12872.146247799163,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-06_PETR4.SA_Janela_2,Venda,19.92387580871582,666.7462118589002,13284.168721008455,13284.168721008455
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-13_PETR4.SA_Janela_2,Compra,21.84160041809082,608.2049147829629,13284.168721008455,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-14_PETR4.SA_Janela_2,Venda,22.78004264831543,608.2049147829629,13854.933897670946,13854.933897670946
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-15_PETR4.SA_Janela_2,Compra,22.24270820617676,622.8977950546263,13854.933897670946,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-19_PETR4.SA_Janela_2,Venda,23.022226333618168,622.8977950546263,14340.49402045931,14340.49402045931
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-20_PETR4.SA_Janela_2,Compra,23.1357479095459,619.8413847058891,14340.49402045931,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-21_PETR4.SA_Janela_2,Venda,24.104467391967773,619.8413847058891,14940.946445835258,14940.946445835258
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-22_PETR4.SA_Janela_2,Compra,23.801742553710938,627.724899221961,14940.946445835258,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-26_PETR4.SA_Janela_2,Venda,23.34008598327637,627.724899221961,14651.153121684063,14651.153121684063
PETR4.SA,Janela_2,Previsões Originais,True,2023-06-27_PETR4.SA_Janela_2,Compra,23.158451080322266,632.6482315621336,14651.153121684063,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-07-03_PETR4.SA_Janela_2,Venda,22.76490974426269,632.6482315621336,14402.179891379374,14402.179891379374
PETR4.SA,Janela_2,Previsões Originais,True,2023-07-04_PETR4.SA_Janela_2,Compra,22.81788825988769,631.1793504878116,14402.179891379374,0.0
PETR4.SA,Janela_2,Previsões Originais,True,2023-07-13_PETR4.SA_Janela_2,Venda,22.42434310913086,631.1793504878116,14153.782318737049,14153.782318737049
PETR4.SA,Janela_2,Previsões Originais,True,2023-07-14_PETR4.SA_Janela_2,Compra,21.98539161682129,643.7812237061913,14153.782318737049,0.0
