Ticker,Saldo Final Janela_1,Retorno Janela_1 (%),Estratégia Janela_1,Previsões Razoáveis Janela_1,Saldo Final Janela_2,Retorno Janela_2 (%),Estratégia Janela_2,Previsões Razoáveis Janela_2,Saldo Final Janela_3,Retorno Janela_3 (%),Estratégia Janela_3,Previsões Razoáveis Janela_3,Saldo Final Janela_4,Retorno Janela_4 (%),Estratégia Janela_4,Previsões Razoáveis Janela_4
PETR4.SA,11702.892680856976,17.028926808569757,Previsões Originais,True,15699.539592499515,56.99539592499515,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
BEEF3.SA,11304.138798368094,13.041387983680943,Previsões Originais,True,7816.497521527488,-21.835024784725118,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
BRFS3.SA,18267.195643730498,82.67195643730498,Previsões Originais,True,16059.337074216246,60.593370742162456,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
VALE3.SA,10000.0,0.0,Sem transações,True,8638.23314884024,-13.617668511597603,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
JBSS3.SA,12535.021220166062,25.350212201660614,Previsões Originais,True,10185.854465836746,1.8585446583674639,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
SOJA3.SA,14580.656717488002,45.80656717488002,Previsões Originais,True,12002.362831067663,20.02362831067663,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
SUZB3.SA,10782.80455876861,7.828045587686101,Previsões Originais,True,11087.032987437018,10.870329874370181,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
GGBR3.SA,10000.0,0.0,Sem transações,True,10583.54908138143,5.835490813814303,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
CSNA3.SA,14816.405186267819,48.164051862678186,Previsões Originais,True,9413.98429652196,-5.860157034780404,Previsões Originais,True,10000,0.0,Arquivo não encontrado,False,10000,0.0,Arquivo não encontrado,False
