Days,MAE,MSE,RMSE,R²
10,1.4631626850452024,4.394923925595709,2.0964073854085967,0.9509138009901084
10,1.0751859282185514,2.87105905776542,1.6944199767960184,0.9679336025104621
10,1.0505099081020501,2.455089349869242,1.566872474028835,0.9725795007027875
10,1.2150464289243588,3.183959866409903,1.7843653959909398,0.9644388638533471
10,1.8181822218469117,7.5073493542821,2.739954261348554,0.9161516205617142
10,1.2848952733957781,4.1254951641086945,2.031131498477805,0.9539230070627435
10,1.3822767190396983,4.839373975715015,2.1998577171524105,0.9459498091973726
10,1.699555513220033,6.735226343768781,2.5952314624651076,0.9247753387697665
10,1.1904670400945458,3.600315100687415,1.89744963060615,0.9597886590697169
10,1.1960620985272963,3.386491863563695,1.8402423382706135,0.9621768164184068
