Days,MAE,MSE,RMSE,R²
4,3.327051105940881,28.183597328669766,5.308822593444781,0.6852219329947928
4,3.5736415330998295,29.743510507064684,5.453761134030779,0.6677995104736487
4,2.698193926532581,19.117618764096413,4.372369925348999,0.7864783877405864
4,3.01946863555067,21.4351983921499,4.629816237406178,0.7605937126802758
4,3.3328305620868517,28.67186829726943,5.3546118717671245,0.6797685078328708
4,2.6840802963408246,17.101752284249617,4.135426493633954,0.808993277758516
4,2.5517612718037497,17.62335695957836,4.198018218109392,0.8031675562765312
4,2.973130327601154,22.588120596253095,4.752696139693037,0.747716904106094
4,2.673754863991364,18.3343231994927,4.281859782792134,0.7952268898306393
4,3.030704155515021,23.272244171951304,4.824131442234063,0.7400760407199454
