Ticker,Janela,Modelo,MAE,MSE,RMSE,R2,Var_Real,Var_Pred,Prop_Var,Travado,Num_Heads,FF_Dim,Transformer_Blocks
BEEF3.SA,5,Transformer,1.590762397978041,3.8256156758976796,1.9559181158467958,-0.10078950237046413,0.19326400589765208,0.008047169,0.041638219372715196,Sim,4,128,2
BEEF3.SA,10,Transformer,1.3720405444292956,2.8795399357958504,1.6969207217179743,0.15374254588331282,0.1920510011424837,0.016807195,0.08751422642527883,Sim,4,128,2
BEEF3.SA,15,Transformer,1.5860498932429723,4.127975133611504,2.0317418964060137,-0.3081244905129661,0.18619582552060748,0.030003224,0.16113800341286608,Sim,4,128,2
BEEF3.SA,20,Transformer,1.4745054175888284,3.5556100770682524,1.8856325403079606,-0.2502742225298862,0.1780921099873042,0.029150005,0.1636793759816826,Sim,4,128,2
SOJA3.SA,5,Transformer,1.4953004784054227,2.712411107012056,1.6469399221016097,-0.2047263732779283,0.13046569249433707,0.08927409,0.6842725608695588,Não,4,128,2
SOJA3.SA,10,Transformer,0.8357956066937514,0.8979612994421442,0.9476081993324795,0.5988864072761064,0.12981367981287398,0.07061962,0.5440075382238895,Não,4,128,2
SOJA3.SA,15,Transformer,0.5573150089808873,0.5871527752672357,0.7662589479198503,0.7365718472022219,0.12925808461222482,0.08937756,0.6914659147983138,Não,4,128,2
SOJA3.SA,20,Transformer,0.6859251298766204,0.6029770442358376,0.7765159652163229,0.7287053298606898,0.1288145925735022,0.08240597,0.6397254212757026,Não,4,128,2
GGBR3.SA,5,Transformer,0.5557417021857365,0.6159050519260642,0.7847961849589129,0.7369501594948096,0.0786309603422344,0.04526651,0.5756830243338347,Não,4,128,2
GGBR3.SA,10,Transformer,0.5896854615547286,0.563573469792283,0.7507153054202924,0.7541076368415659,0.07792972125220664,0.04597837,0.5899978893178985,Não,4,128,2
GGBR3.SA,15,Transformer,0.5103908647809708,0.4221856638891453,0.6497581580012254,0.8031372522808785,0.07557836156332914,0.052136768,0.6898372308841895,Não,4,128,2
GGBR3.SA,20,Transformer,0.5460627072099324,0.5820608281767381,0.762929110846308,0.7003769276439871,0.07214576841848047,0.044093013,0.6111656134008102,Não,4,128,2
CSNA3.SA,5,Transformer,8.021696760919358,64.87195440277343,8.05431278277504,-15.324783079685748,0.16334494102569783,0.06706607,0.4105794339055323,Não,4,128,2
CSNA3.SA,10,Transformer,1.55331834873683,3.2386613570561447,1.7996281163218542,0.19056832538355772,0.16416877511810643,0.11318447,0.68943967497241,Não,4,128,2
CSNA3.SA,15,Transformer,11.485218249729702,132.54531038429184,11.512832422314322,-32.05136951479914,0.1647071481549509,0.05447903,0.3307629914055445,Não,4,128,2
CSNA3.SA,20,Transformer,2.78359703672105,8.985165197628266,2.9975265132485927,-1.2433757531025678,0.16500423516570356,0.100742385,0.6105442365779572,Não,4,128,2
VALE3.SA,5,Transformer,4.219259558783637,21.406496003602495,4.62671546603014,0.5569131587219641,0.1103452647447055,0.07301217,0.6616701980346191,Não,4,128,2
VALE3.SA,10,Transformer,2.532033710748377,8.906398759925167,2.9843590199446792,0.8076193812762582,0.10835067057006374,0.07155165,0.6603710931008029,Não,4,128,2
VALE3.SA,15,Transformer,3.3085640825544087,14.084756491545868,3.7529663589680453,0.6782237230075567,0.10571242571632938,0.07034461,0.6654337134514039,Não,4,128,2
VALE3.SA,20,Transformer,1.4399922135947407,3.7083974215026143,1.9257199748412577,0.9101911524759774,0.10302122020021791,0.091844894,0.8915143289261187,Não,4,128,2
JBSS3.SA,5,Transformer,2.547838322321574,7.52019324478032,2.742297074494359,-0.6160011380550403,0.12406532809454518,0.060713507,0.48936724036858137,Não,4,128,2
JBSS3.SA,10,Transformer,6.207555034798635,39.095034515900714,6.252602219548331,-7.4059385765281025,0.12424796624800437,0.0689846,0.5552171194792451,Não,4,128,2
JBSS3.SA,15,Transformer,1.413649343763079,3.784942619639336,1.9454928988920355,0.1906954281644675,0.12476199277878568,0.03000772,0.2405197233968338,Sim,4,128,2
JBSS3.SA,20,Transformer,1.7773786019587863,5.704769166681471,2.388465860480629,-0.2106730211336718,0.12538720241126466,0.023369694,0.18638021807026964,Sim,4,128,2
BRFS3.SA,5,Transformer,3.795052168104384,16.442228698316015,4.054901811180637,-1.8891102462501466,0.266154752395683,0.07729557,0.2904158985322773,Sim,4,128,2
BRFS3.SA,10,Transformer,2.189843704331089,6.24379995972607,2.4987596842685913,-0.08252318094599964,0.26774724034535513,0.098252736,0.36696077952204975,Não,4,128,2
BRFS3.SA,15,Transformer,3.009708822795323,10.226356860040564,3.197867548858233,-0.7525127754937049,0.2688852942679709,0.117690675,0.43769844416750736,Não,4,128,2
BRFS3.SA,20,Transformer,2.953851934792339,11.134425114923358,3.3368286013703727,-0.8901715999506035,0.2695501231835776,0.07417536,0.27518205869298107,Sim,4,128,2
SUZB3.SA,5,Transformer,1.1001107745700416,1.9135021582958882,1.383293952237155,0.9061969246433653,0.09889833981596553,0.09994284,1.0105613584793702,Não,4,128,2
SUZB3.SA,10,Transformer,0.9814264324349413,1.4312074846788518,1.1963308424841566,0.9306691448678563,0.0995409917499319,0.097258575,0.9770705872106777,Não,4,128,2
SUZB3.SA,15,Transformer,0.7644453430175779,0.9854697257348536,0.9927082782644927,0.9528196291189218,0.1001849659533124,0.09892241,0.9873977415266185,Não,4,128,2
SUZB3.SA,20,Transformer,0.9400375366210938,1.3240645773480209,1.1506800499478649,0.9373600790458217,0.10082699608542214,0.085420966,0.8472033231656186,Não,4,128,2
