Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno Bruto (%),Retorno Liquido (%),Max Drawdown (%),Sharpe Ratio,Total Custos (R$),Total Impostos (R$),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Trading Realista (B3),18,9.474157988686784,7.047037752562464,-24.137927193594198,0.3164389719670758,83.70762063869746,159.00440297373422,10.299587,10.649377,10.450620194444443,BEEF3.SA,Janela_5
True,Trading Realista (B3),12,0.959756373260061,-0.5943575016337672,-24.13792719359419,0.09867073443551717,52.77993786666295,102.63144962272041,9.558731,10.342998,9.819294973239435,BEEF3.SA,Janela_10
True,Trading Realista (B3),8,1.2474653898725592,0.9163455488758518,-13.49504551339602,0.12532603974553322,33.11198409967144,0.0,7.9201393,9.075936,8.219927020857142,BEEF3.SA,Janela_15
True,Trading Realista (B3),12,1.9638274990408353,1.4634956307145695,-13.495045513396015,0.1525639598029935,50.033186832627216,0.0,7.8991227,9.001126,8.26491961652174,BEEF3.SA,Janela_20
True,Trading Realista (B3),2,59.782077676301306,59.67818084523078,-38.7417201349637,0.9073565446145606,10.38968310705205,0.0,11.584164,15.37282,12.758272259722222,BRFS3.SA,Janela_5
True,Trading Realista (B3),12,62.51499988424188,59.666374930999474,-35.23920219086794,0.9231597528325051,74.30270417049601,210.55979115374362,9.632932,14.673634,11.052629663380282,BRFS3.SA,Janela_10
True,Trading Realista (B3),2,82.36120310245035,82.24827462120935,-35.23920219086795,1.1218612366207554,11.292848124098013,0.0,10.2584095,16.029198,11.99356570142857,BRFS3.SA,Janela_15
True,Trading Realista (B3),10,77.60739376538211,76.47316562428342,-35.23920219086795,1.088626161499562,68.5777834273061,44.845030682563326,10.996319,14.575243,11.937142892753622,BRFS3.SA,Janela_20
True,Trading Realista (B3),12,-0.33859206203047504,-0.8214223021811086,-23.879290389713095,0.07845480274948917,48.17405378397803,0.10897023108504705,57.16882,75.80543,66.71579590277778,VALE3.SA,Janela_5
True,Trading Realista (B3),16,5.077296546572507,4.4226103769598195,-22.009472710952082,0.25569637910470355,63.991964466824726,1.4766524944442414,55.988693,72.61793,64.03211630422535,VALE3.SA,Janela_10
True,Trading Realista (B3),16,1.9314534861351238,1.2914170310206827,-22.009472710952075,0.14872549915668132,64.00364551144452,0.0,56.05863,75.244835,65.23943224,VALE3.SA,Janela_15
True,Trading Realista (B3),68,-16.67500960467116,-18.990573595282186,-30.118893782273155,-0.9419322215503867,229.75834198788274,1.7980570732192473,52.477886,73.87527,62.263679924637685,VALE3.SA,Janela_20
True,Trading Realista (B3),4,19.458850327004892,19.25860133189064,-29.45804245945931,0.5996550677816251,18.2919638544351,1.7329356569902679,18.345097,23.35359,19.933702405555554,JBSS3.SA,Janela_5
True,Trading Realista (B3),2,17.377024995021255,17.290090185023253,-28.014588647952245,0.5606390137317391,8.69348099980085,0.0,20.725601,27.486963,23.56470461408451,JBSS3.SA,Janela_10
True,Trading Realista (B3),12,18.468569659730402,17.10434317102301,-12.894553705951079,0.7157243615360664,50.39237645799766,86.03027241274222,15.746756,17.877542,16.37369743142857,JBSS3.SA,Janela_15
True,Trading Realista (B3),16,19.072251907102363,16.885203194611258,-6.897393573628455,0.9224206416230556,68.95426987352884,149.75060137558103,15.289476,16.917028,15.758409823188407,JBSS3.SA,Janela_20
True,Sem transações,0,0.0,0.0,0.0,0.0,0.0,0.0,9.104235,13.104307,10.005742445833334,SOJA3.SA,Janela_5
True,Trading Realista (B3),22,48.00367896090569,45.53104782690166,-21.332774564592942,1.095398495182305,117.13643914076113,130.12667425964233,10.725476,14.472144,12.160866015492958,SOJA3.SA,Janela_10
True,Trading Realista (B3),48,18.033637104398238,15.315113820793993,-8.212252320924732,1.007832335948894,207.22014680979825,64.63218155062664,9.717337,13.75634,11.058312101428571,SOJA3.SA,Janela_15
True,Trading Realista (B3),22,28.850879938754513,26.93106200555749,-21.332774564592953,0.7425080450570201,107.74242352725346,84.23936979244854,10.666461,14.528341,12.089621895652174,SOJA3.SA,Janela_20
True,Trading Realista (B3),58,-11.971056003586108,-14.152214360945273,-15.201182798777863,-1.619479258928041,212.58106737654296,5.5347683593743024,32.364693,53.99003,44.785134125,SUZB3.SA,Janela_5
True,Trading Realista (B3),64,16.108018081824557,11.90718983878256,-22.9382005945954,0.503892278140461,253.59990814252657,166.48291616167188,36.618942,55.65336,46.424326146478876,SUZB3.SA,Janela_10
True,Trading Realista (B3),116,-0.27132936469291963,-7.751964956657666,-22.361917534836476,-0.2535303288085966,426.4909208134421,321.57263838303345,36.08075,55.738304,45.905466045714284,SUZB3.SA,Janela_15
True,Trading Realista (B3),66,4.547961789413402,0.22220520220411344,-22.820144335842006,0.08701361375964034,254.5572689712021,178.01838974972594,35.475006,53.855343,45.50010910434782,SUZB3.SA,Janela_20
True,Trading Realista (B3),64,23.124342160691285,18.490985270577003,-12.109345089680549,0.9126118675039703,278.2915482376889,185.04414077373914,17.238234,21.197989,19.23951875,GGBR3.SA,Janela_5
True,Trading Realista (B3),36,1.3294795496919505,-0.4117997149993789,-18.319962236864598,0.08080854099733334,147.57942392098283,26.548502548149845,17.439096,21.564117,19.57692107887324,GGBR3.SA,Janela_10
True,Trading Realista (B3),42,4.1849862796751225,1.8667966671606702,-17.545608804774012,0.1677689915089532,174.48412135954123,57.33483989190419,17.215485,21.757206,19.567654825714285,GGBR3.SA,Janela_15
