Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-01-05,Compra,47.2574577331543,47.26218347892761,211.50101972027662,9996.0,3.9999999999999996,0.0,,,,,
2023-01-08,Venda,47.8914680480957,47.88667890129089,211.50101972027662,,4.051232567456191,10124.030186073023,10128.081418640479,128.03018607302246,0.0,10124.030186073023,10128.081418640479
2023-01-09,Compra,47.29531097412109,47.3000405052185,213.95289445644514,10119.980573998593,4.049612074429209,0.0,,,,,
2023-01-11,Venda,47.56026840209961,47.5555123752594,213.95289445644514,,4.069855808018418,10170.34389146955,10174.639520046045,50.58909023943312,0.22577276847606242,10170.34389146955,20302.72093868652
2023-01-17,Compra,47.18175506591797,47.18647324142456,215.44894236740893,10166.275753912963,4.0681375565878195,0.0,,,,,
2023-01-29,Venda,43.79405975341797,43.789680347442626,215.44894236740893,,3.77377612698537,9430.66654133644,9434.440317463426,-735.6092125765225,0.0,9430.66654133644,20302.72093868652
2023-01-30,Compra,43.8697624206543,43.874149396896364,214.862154692548,9426.894274719907,3.772266616534576,0.0,,,,,
2023-02-14,Venda,45.59199905395508,45.587439854049684,214.862154692548,,3.91800622158322,9791.097547736466,9795.01555395805,364.20327301655976,0.0,9791.097547736466,9795.01555395805
2023-02-15,Compra,45.194557189941406,45.1990766456604,216.53497892101404,9787.181108717372,3.9164390190945864,0.0,,,,,
2023-02-27,Venda,45.17563629150391,45.17111872787476,216.53497892101404,,3.9124508966315936,9777.214790682352,9781.127241578984,-9.966318035019025,0.0,9777.214790682352,9795.01555395805
2023-02-28,Compra,44.25773620605469,44.26216197967529,220.8049373922104,9773.303904766079,3.9108859162729406,0.0,,,,,
2023-03-02,Venda,45.61092376708984,45.606362674713125,220.8049373922104,,4.028044022030589,10066.082011054443,10070.110055076473,292.7781062883639,0.0,10066.082011054443,10070.110055076473
2023-03-04,Compra,45.61092376708984,45.61548485946655,220.58420751745777,10062.055578250021,4.026432804421777,0.0,,,,,
2023-04-02,Venda,40.44421005249024,40.440165631484994,220.58420751745777,,3.56818475507834,8916.893702940772,8920.46188769585,-1145.1618753092496,0.0,8916.893702940772,0.0
2023-04-03,Compra,40.075157165527344,40.079164681243896,222.39303179965782,8913.326945459596,3.5667574811763085,0.0,,,,,
2023-04-10,Venda,40.2644157409668,40.2603892993927,222.39303179965782,,3.581452015090577,8950.048585711353,8953.630037726443,36.721640251757094,0.0,8950.048585711353,8953.630037726443
2023-04-11,Compra,39.9332160949707,39.9372094165802,224.0133623998997,8946.468566277068,3.580019434284541,0.0,,,,,
2023-04-27,Venda,37.66212844848633,37.658362235641476,224.0133623998997,,3.3743905387517805,8432.6019563407,8435.976346879452,-513.866609936368,0.0,8432.6019563407,8953.630037726443
2023-04-28,Compra,37.66212844848633,37.66589466133118,223.78942519084345,8429.228915558164,3.37304078253628,0.0,,,,,
2023-05-04,Venda,39.374908447265625,39.3709709564209,223.78942519084345,,3.524322783817129,8807.282636759008,8810.806959542824,378.0537212008432,0.0,8807.282636759008,8810.806959542824
2023-05-06,Compra,39.374908447265625,39.37884593811035,223.56571184286884,8803.759723704305,3.522913054703603,0.0,,,,,
2023-05-15,Venda,41.36210632324219,41.35797011260986,223.56571184286884,,3.6984896114406873,9242.525538990278,9246.224028601719,438.7658152859733,0.0,9242.525538990278,18057.030988144543
2023-05-16,Compra,41.38103103637695,41.38516913948059,223.24008143199862,9238.828528774682,3.697010215596111,0.0,,,,,
2023-05-17,Venda,42.91401290893555,42.909721507644655,223.24008143199862,,3.8316678894363903,9535.099897857395,9579.169723590976,336.50952692685746,40.23815784414386,9535.099897857395,27636.200711735517
2023-05-19,Compra,42.98025131225586,42.98454933738709,221.73748485966175,9531.285857898252,3.8140399591429577,0.0,,,,,
