Ticker,Estrategia_Retorno (%),BuyHold_Retorno (%),Diferenca_Retorno (%),Estrategia_Sharpe,BuyHold_Sharpe,Diferenca_Sharpe,Estrategia_Saldo,BuyHold_Saldo,Melhor
SOJA3.SA,17.813220446694466,68.92408068823032,-51.11086024153585,0.8262754324949205,1.6047158748655928,-0.7784404423706722,11781.322044669447,16892.40806882303,Buy & Hold
BRFS3.SA,5.18277966066953,36.96778474305156,-31.78500508238203,0.5375679698967621,1.2453103387960538,-0.7077423688992917,10518.277966066953,13696.778474305156,Buy & Hold
JBSS3.SA,7.98082746607237,25.224904602264253,-17.244077136191883,0.35899254089942195,0.7227832931142403,-0.3637907522148183,10798.082746607237,12522.490460226425,Buy & Hold
GGBR3.SA,4.098101393453107,-1.701878574286147,5.7999799677392545,0.3410655763786267,0.06353571982183262,0.2775298565567941,10409.81013934531,9829.812142571385,Estratégia
CSNA3.SA,3.97169789662812,51.57912957165026,-47.60743167502214,0.28273154578439064,1.2729620229455845,-0.9902304771611938,10397.169789662812,15157.912957165026,Buy & Hold
SUZB3.SA,-6.142018255290914,12.859040862037638,-19.001059117328552,-0.21103850769364854,0.6199736735789151,-0.8310121812725636,9385.798174470909,11285.904086203764,Buy & Hold
BEEF3.SA,-12.434694434176127,-39.877757544928045,27.44306311075192,-0.23897988569905917,-0.9842668670412806,0.7452869813422215,8756.530556582387,6012.2242455071955,Estratégia
VALE3.SA,-17.391436655292893,-6.55823684674946,-10.833199808543434,-1.0157231435821772,-0.12535022105473126,-0.8903729225274459,8260.85633447071,9344.176315325054,Buy & Hold
