Previsões Razoáveis,Estratégia Usada,Total de Transações,Retorno Bruto (%),Retorno Liquido (%),Max Drawdown (%),Sharpe Ratio,Total Custos (R$),Total Impostos (R$),Min Previsto,Max Previsto,Média Previsto,Ticker,Janela
True,Trading Realista (B3),74,-28.081877617921936,-30.584525643501976,-37.45487145894929,-1.203660464784135,221.92644050235174,28.338362055651977,6.718525,14.233608,9.414173355870446,BEEF3.SA,Janela_1
True,Trading Realista (B3),92,-34.4547247321075,-38.4786976333453,-42.47298178010058,-1.4524485895158779,300.002271231789,102.39501889199171,6.64417,14.292343,9.485629906097563,BEEF3.SA,Janela_2
True,Trading Realista (B3),92,-29.334077192995288,-34.620072122253404,-37.80438273160802,-1.2072985149432183,320.0505585351444,208.54893439066686,6.6403713,14.1362915,9.506752607755102,BEEF3.SA,Janela_3
True,Trading Realista (B3),102,-6.4004546004236555,-12.434694434176127,-22.202439740824193,-0.23897988569905917,363.4730384785403,239.95094489670802,6.751578,14.262453,9.471825159836067,BEEF3.SA,Janela_4
True,Trading Realista (B3),92,-17.47852185685526,-23.44086271983794,-29.096660738864273,-0.6541909281464611,338.8099526573702,257.4241336408986,6.7718925,14.253137,9.504413701646092,BEEF3.SA,Janela_5
True,Trading Realista (B3),102,-2.062953060724376,-8.373814151761216,-16.821460534308315,-0.12824355802510418,403.937070147477,227.14903895620753,10.923938,16.54789,13.742529116465862,BRFS3.SA,Janela_1
True,Trading Realista (B3),110,8.762384101278913,1.4808572570674006,-19.141282866139928,0.35406335517549675,446.99648651919,281.15619790196143,10.796705,16.463087,13.73028747782258,BRFS3.SA,Janela_2
True,Trading Realista (B3),116,10.44676688524547,3.056115618167714,-17.268750285786762,0.41801520139465115,461.07395214418966,277.9911745635853,10.799215,16.525787,13.775487277327937,BRFS3.SA,Janela_3
True,Trading Realista (B3),108,12.294225360124692,5.18277966066953,-13.87299521210544,0.5375679698967621,424.9578836182788,286.18668632723796,10.684952,16.379698,13.739763150406505,BRFS3.SA,Janela_4
True,Trading Realista (B3),106,-1.5069445161330624,-7.587703430081383,-23.939885124977632,-0.10037602316303507,405.4514909660833,202.62440042874908,10.743885,16.52387,13.742271920408164,BRFS3.SA,Janela_5
True,Trading Realista (B3),102,-16.4472022987699,-20.12327842704617,-31.2365991455493,-1.1153696005386375,327.2076370298736,40.39997579775382,48.50347,72.28376,56.90302724696356,VALE3.SA,Janela_1
True,Trading Realista (B3),102,-13.104783411365734,-17.391436655292893,-26.73554092051791,-1.0157231435821772,345.66800659318835,82.99731779952633,48.528603,71.99885,56.7013496097561,VALE3.SA,Janela_2
True,Trading Realista (B3),102,-16.98181404881245,-20.560446020485053,-32.30369924589481,-1.1469039792342237,325.30382740448516,32.55936976277574,48.616116,72.40599,56.845003212244904,VALE3.SA,Janela_3
True,Trading Realista (B3),98,-20.64732323837813,-24.31117711042598,-29.27979052568957,-1.5996373929125798,327.64000942778455,38.745377777000385,48.219616,71.966,56.575943467213115,VALE3.SA,Janela_4
