Ticker,Janela,RMSE_Treino,MAE_Treino,R2_Treino,MAPE_Treino,RMSE_Teste,MAE_Teste,R2_Teste,MAPE_Teste
BEEF3.SA,Janela_5,0.343974869132176,0.25394591511906806,0.9671775584245197,2.6467098196080503,0.4125562732806913,0.30005970078441296,0.9598812955891227,4.329269639660526
BEEF3.SA,Janela_10,0.35471971348494674,0.26110632630432545,0.965216154270733,2.724699253715769,0.41509781416765196,0.3336391985294521,0.9568293429140563,4.894203463889903
BEEF3.SA,Janela_15,0.5285025718398804,0.4133944433029384,0.9227103851385129,4.39538934174601,0.43457607747115784,0.343556826764887,0.9476311169143097,4.571668542902365
BEEF3.SA,Janela_20,0.44518652687289456,0.33321713809309333,0.945469616568963,3.529859878408015,0.5580638640302477,0.4536595583459778,0.9048923054640929,6.755466016413707
BRFS3.SA,Janela_5,1.5246659228150437,1.1699489639221272,0.6639103332211744,7.336546242369679,0.783656393488443,0.6464759245995553,0.6989413668833224,4.622752289290964
BRFS3.SA,Janela_10,1.098190302568461,0.8535734462993714,0.8181633985735749,5.517147115525842,0.6016541215230816,0.5038153615357192,0.8227353885168547,3.6544017823706567
BRFS3.SA,Janela_15,0.7891661548935495,0.6178991237954413,0.9014013838752375,4.198770886803625,0.4780050489055576,0.3886316617329915,0.8881195691744469,2.8011143132626053
BRFS3.SA,Janela_20,1.227000800166538,0.9102776283803193,0.7503271568091762,6.4142166753649175,0.7616580828811187,0.582528949031711,0.717431391683053,4.199856932248918
VALE3.SA,Janela_5,2.09576973379611,1.5857678052541377,0.9778403181957832,3.1886895401784376,1.4673791517521997,1.129245240678672,0.9193170484474221,2.0249309630691243
VALE3.SA,Janela_10,2.263741850263789,1.7475185965194182,0.973983051530235,3.7917922941895874,1.484468622161461,1.162774341481838,0.9106324097272145,2.136544796714188
VALE3.SA,Janela_15,2.821052194211515,2.2669409268522918,0.9593825341797545,4.895734327564086,1.8596202999442335,1.4638373162135598,0.8469944641753879,2.6669443558767285
VALE3.SA,Janela_20,2.9459948421128557,2.2132204384639347,0.9553165267852306,4.479496211385153,2.0106817817928277,1.53781691772206,0.7953880812299112,2.849247737649172
JBSS3.SA,Janela_5,0.6105326436281197,0.44589970177466726,0.9871699264116818,2.0713036445340736,0.40436792519492576,0.3099178738064239,0.9648628881637029,1.81086448240623
JBSS3.SA,Janela_10,0.6713186892452625,0.5208854754399597,0.9845467431241187,2.5067261941110015,0.5544556337363524,0.4434308629640393,0.9339004941778966,2.5431014981128595
JBSS3.SA,Janela_15,0.6572254828194294,0.5077413470656785,0.9852493456214901,2.4083201291348244,0.5360167701933743,0.4354943547930038,0.9385659072654646,2.495220009682398
JBSS3.SA,Janela_20,0.8898997644780097,0.7033934225038042,0.9730777731377235,3.380797236443371,0.8203232270495812,0.6835126047549042,0.8571899386963815,3.8682943889504133
SOJA3.SA,Janela_5,0.6219321863775499,0.5187105682225261,0.7686853181570763,4.599643621640774,0.9767713060295216,0.7422160696886811,0.7876673857466521,5.708862845176315
SOJA3.SA,Janela_10,0.6178544529501185,0.502379480530234,0.7701984517803562,4.449109599829836,0.9396204460025791,0.7093614742068425,0.8018787909644044,5.48444620351969
SOJA3.SA,Janela_15,0.4286318014112441,0.33647207705022103,0.8852166231804743,3.091786047727107,0.5356503261763774,0.3970436025256953,0.9351551834942693,3.2639047388630806
SOJA3.SA,Janela_20,0.46852629009915375,0.36795765670699704,0.8593084920989218,3.360229932386437,0.6395224649686277,0.5048040537346381,0.9074561312267302,4.24837700123614
SUZB3.SA,Janela_5,1.8607053241113118,1.4387085038262444,0.9517423517696618,3.2192809012661123,1.6186673835299492,1.2526506972216407,0.9280721036229038,2.4749095492065893
SUZB3.SA,Janela_10,2.018369355857124,1.542539324079241,0.9432873232208813,3.5097535964799205,1.6214359166652261,1.2329438020359031,0.9284248370742855,2.5008895409329512
SUZB3.SA,Janela_15,2.728647916014337,2.159489427853937,0.8964299140931911,4.892509598495313,2.0907191446331903,1.649094896868241,0.8818636040877394,3.3663781712776744
SUZB3.SA,Janela_20,2.2105190250222364,1.6810758419694571,0.9319380334458145,3.8361725463268583,1.7202567485057259,1.3152210976236303,0.920001448932287,2.6617253672333083
GGBR3.SA,Janela_5,0.38858017046864135,0.2978472658105799,0.9831837175337158,2.8420710511462204,0.4368004554986837,0.35429470934848567,0.8668743059212913,2.147407362909803
GGBR3.SA,Janela_10,0.43059224446540767,0.323911563717589,0.9794185049269973,3.184504038371262,0.43512955706649764,0.32851431169880424,0.8672850234635621,2.030558599831761
GGBR3.SA,Janela_15,0.4043344219633521,0.31320606519098143,0.9819335264144022,2.972966769407025,0.44853631812072237,0.34009287968154767,0.8571591713620491,2.1059504632428596
GGBR3.SA,Janela_20,0.5182075086718924,0.4114972703210239,0.970434269346324,3.975201857069778,0.5080052724926447,0.38477366453421624,0.8143321985815933,2.3673440408414788
CSNA3.SA,Janela_5,3.691086665743778,2.686977684175646,0.7602214532894326,16.150425445721613,1.1832445465063264,0.8776867727519047,0.6201583823494248,6.46588277371085
CSNA3.SA,Janela_10,3.4243536607170073,2.4434397898563724,0.7941407003940414,13.974066513055803,1.164798734558615,0.8648701026152005,0.6346101394676633,6.452794695492129
CSNA3.SA,Janela_15,1.416643050813446,1.022983046427165,0.9648694178679385,6.890995934959965,0.7536112214349835,0.5684407663739417,0.8479262034071616,4.574071822131363
CSNA3.SA,Janela_20,3.3272544384713427,2.302332206594533,0.8066154075244438,14.240550160426901,1.3877841425894444,0.9275213890633155,0.4846340963297704,7.18895084948232
