Days,MAE,MSE,RMSE,R²
7,2.9177474586545697,19.782830321347376,4.44778937466101,0.7790487458011659
7,3.1364824196206693,23.32009165010899,4.829088076449733,0.739541643532109
7,3.397030646377782,27.17247634205852,5.212722546046214,0.6965149758113975
7,2.5097982859795516,15.04192700685295,3.8783923224517847,0.8319991291931549
7,2.284766879602199,14.1039200389497,3.75551861118404,0.8424755844420098
7,2.9801721152291933,23.935277325258323,4.892369295674471,0.7326707336623206
7,3.9477697102211278,31.877668227009572,5.646031192528923,0.6439634459713381
7,2.8887650143876753,19.285085488140524,4.391478735931727,0.784607974910584
7,2.7470553128958537,17.641664223392752,4.200198117159803,0.8029630865696608
7,3.2557639818075867,23.737711613196733,4.872136247396694,0.7348773114339356
