acao,dia,preco,quantidade
comprar,2023-01-03,14.52721309661865,688.3632761143703
vender,2023-01-04,15.05031967163086,0.0
comprar,2023-01-05,14.962085723876951,692.4226706708029
vender,2023-01-16,16.08392906188965,0.0
comprar,2023-01-21,16.61964225769043,670.1032996519518
vender,2023-01-22,16.88434410095215,0.0
comprar,2023-01-23,16.764596939086914,674.8897534260216
vender,2023-01-30,16.430561065673828,0.0
comprar,2023-01-31,16.20367431640625,684.3396806017232
vender,2023-02-05,16.247791290283203,0.0
comprar,2023-02-08,16.342329025268555,680.380886034275
vender,2023-02-09,16.84022331237793,0.0
comprar,2023-02-11,16.84022331237793,680.380886034275
vender,2023-02-22,16.73307991027832,0.0
comprar,2023-02-23,16.323421478271484,697.4559684433912
vender,2023-03-02,16.197368621826172,0.0
comprar,2023-03-04,16.197368621826172,697.4559684433912
vender,2023-03-27,14.86755084991455,0.0
comprar,2023-03-29,15.10704231262207,686.3992210933795
vender,2023-04-02,15.434770584106444,0.0
comprar,2023-04-03,15.296119689941406,692.6210517071505
vender,2023-04-09,15.447376251220703,0.0
comprar,2023-04-12,16.405353546142578,652.1760079807766
vender,2023-04-13,16.57552146911621,0.0
comprar,2023-04-14,16.57552146911621,652.1760079807766
vender,2023-04-16,16.83392333984375,0.0
comprar,2023-04-18,16.70787239074707,657.0962876466417
vender,2023-04-23,17.142745971679688,0.0
comprar,2023-04-24,17.073415756225586,659.764566088817
vender,2023-04-28,16.82586097717285,0.0
comprar,2023-04-29,16.82586097717285,659.764566088817
vender,2023-05-04,17.038848876953125,0.0
comprar,2023-05-06,17.038848876953125,659.764566088817
vender,2023-05-07,17.400920867919922,0.0
comprar,2023-05-09,17.415124893188477,659.2264526600877
vender,2023-05-10,18.054079055786133,0.0
comprar,2023-05-13,18.63623809814453,638.633528360836
vender,2023-05-15,18.67173767089844,0.0
comprar,2023-05-16,18.217369079589844,654.562009327325
vender,2023-05-22,18.63623809814453,0.0
comprar,2023-05-24,18.778228759765625,649.6125705934888
vender,2023-05-25,19.026710510253903,0.0
comprar,2023-05-27,19.026710510253903,649.6125705934888
vender,2023-05-31,19.140304565429684,0.0
comprar,2023-06-02,19.29649353027344,644.3545005305881
vender,2023-06-04,19.50237846374512,0.0
comprar,2023-06-15,22.42096328735352,560.4774947940374
vender,2023-06-16,22.42096328735352,0.0
comprar,2023-06-22,22.81431198120117,550.8141268743782
vender,2023-06-24,22.81431198120117,0.0
comprar,2023-06-29,22.33775520324707,562.5652721065856
vender,2023-07-01,22.33775520324707,0.0
comprar,2023-07-05,22.42852783203125,560.2884606727619
vender,2023-07-07,22.315059661865234,0.0
comprar,2023-07-10,22.050308227539062,567.0156760961842
vender,2023-07-12,22.41339874267578,0.0
comprar,2023-07-13,21.97466087341309,578.3364992479976
vender,2023-07-15,21.97466087341309,0.0
comprar,2023-07-17,21.808244705200195,582.7497175259255
vender,2023-07-18,22.01248359680176,0.0
comprar,2023-07-26,22.231853485107425,576.9995113845682
vender,2023-07-28,22.511737823486328,0.0
comprar,2023-08-01,23.09419631958008,562.447012436469
vender,2023-08-02,23.38921165466309,0.0
comprar,2023-08-03,22.69328117370605,579.6954665882331
vender,2023-08-05,22.69328117370605,0.0
comprar,2023-08-30,25.081758499145508,524.492420212788
vender,2023-08-31,25.62360191345215,0.0
comprar,2023-09-25,26.275379180908203,511.4820566289165
vender,2023-09-26,27.10777282714844,0.0
comprar,2023-10-01,26.793661117553714,517.478344427357
vender,2023-10-05,26.31464385986328,0.0
comprar,2023-10-19,29.722745895385746,458.1426758727414
vender,2023-10-20,29.722745895385746,0.0
comprar,2023-10-22,27.75955200195313,490.5431592642227
vender,2023-10-24,28.324951171875,0.0
comprar,2023-10-30,27.280532836914062,509.3233008651216
vender,2023-10-31,27.57893943786621,0.0
comprar,2023-11-07,26.83292388916016,523.4836325283127
vender,2023-11-08,27.39047622680664,0.0
comprar,2023-12-05,27.337779998779297,524.4926981096995
vender,2023-12-07,28.14567756652832,0.0
