acao,dia,preco,quantidade
comprar,2023-02-01,17.9605655670166,556.7753399906484
vender,2023-02-02,18.04482078552246,0.0
comprar,2023-02-08,16.8511962890625,596.2135302198499
vender,2023-02-10,16.83013153076172,0.0
comprar,2023-03-05,17.25843620300293,581.4172278409497
vender,2023-03-07,17.30758285522461,0.0
comprar,2023-03-08,16.78097915649414,599.6626746549499
vender,2023-03-10,16.429914474487305,0.0
comprar,2023-03-14,15.974989891052246,616.7394486829419
vender,2023-03-15,16.18742561340332,0.0
comprar,2023-03-22,15.822038650512695,630.9821489459574
vender,2023-03-23,16.0822696685791,0.0
comprar,2023-04-04,15.94843864440918,636.2770238305267
vender,2023-04-05,16.045095443725586,0.0
comprar,2023-04-24,16.0004825592041,638.0511049110686
vender,2023-04-26,16.335065841674805,0.0
comprar,2023-05-01,16.178926467895508,644.20880024133
vender,2023-05-02,16.543251037597656,0.0
comprar,2023-05-03,15.836908340454102,672.9411873780119
vender,2023-05-04,16.20866584777832,0.0
comprar,2023-05-09,16.037656784057617,680.1167395139703
vender,2023-05-10,16.097139358520508,0.0
comprar,2023-05-23,16.23734474182129,674.2441027208848
vender,2023-05-24,16.283016204833984,0.0
comprar,2023-08-07,18.84079933166504,582.7102904369016
vender,2023-08-09,18.292705535888672,0.0
comprar,2023-09-18,17.668659210205078,603.2912644292653
vender,2023-09-19,17.978769302368164,0.0
comprar,2023-10-02,16.70730972290039,649.202932441047
vender,2023-10-05,16.304161071777344,0.0
comprar,2023-10-17,15.598655700683596,678.5654726852616
vender,2023-10-18,15.598655700683596,0.0
comprar,2023-11-23,16.482555389404297,642.1764664958035
vender,2023-11-24,16.482555389404297,0.0
