acao,dia,preco,quantidade
comprar,2023-01-02,11.980664253234863,834.6782606231478
vender,2023-01-03,12.07123851776123,0.0
comprar,2023-01-11,13.940387725830078,722.7632808880242
vender,2023-01-16,13.816875457763672,0.0
comprar,2023-01-20,14.681458473205566,680.2001487590671
vender,2023-01-22,14.780269622802734,0.0
comprar,2023-01-23,14.516776084899902,692.5464398797925
vender,2023-01-25,15.142571449279783,0.0
comprar,2023-01-26,14.986122131347656,699.7763568126644
vender,2023-01-29,15.068463325500488,0.0
comprar,2023-01-31,15.241381645202637,691.8371715993984
vender,2023-02-10,14.047430038452148,0.0
comprar,2023-02-12,13.989791870117188,694.6875519143628
vender,2023-02-13,14.030962944030762,0.0
comprar,2023-02-16,14.327390670776367,680.3147567177839
vender,2023-02-17,14.327390670776367,0.0
comprar,2023-02-18,14.327390670776367,680.3147567177839
vender,2023-02-22,14.352093696594238,0.0
comprar,2023-02-23,13.602788925170898,717.789652203008
vender,2023-02-24,13.602788925170898,0.0
comprar,2023-02-27,13.726300239562988,711.330872935955
vender,2023-02-28,14.77203369140625,0.0
comprar,2023-03-01,14.632054328918455,718.1359079551778
vender,2023-03-02,15.01905918121338,0.0
comprar,2023-03-05,14.442670822143556,746.7957855271828
vender,2023-03-07,14.813204765319824,0.0
comprar,2023-03-08,13.619256973266602,812.2644950900491
vender,2023-03-10,13.108739852905272,0.0
comprar,2023-03-13,12.944056510925291,822.5986922182991
vender,2023-03-15,12.170048713684082,0.0
comprar,2023-03-16,12.02183437347412,832.7403160867603
vender,2023-03-17,12.02183437347412,0.0
comprar,2023-03-19,11.79951286315918,848.4304625292111
vender,2023-03-21,11.725404739379885,0.0
comprar,2023-03-22,11.354869842529297,876.1166534127634
vender,2023-03-27,11.873619079589844,0.0
comprar,2023-03-30,12.7135009765625,818.2384561959491
vender,2023-03-31,12.7135009765625,0.0
comprar,2023-04-02,12.433541297912598,836.6623122613219
vender,2023-04-08,11.997130393981934,0.0
comprar,2023-04-11,13.199315071105955,760.459675510153
vender,2023-04-16,12.08770751953125,0.0
comprar,2023-04-18,12.02183437347412,764.6265829653056
vender,2023-04-22,11.964195251464844,0.0
comprar,2023-04-23,11.56895637512207,790.7490906206111
vender,2023-04-26,11.396039962768556,0.0
comprar,2023-04-28,11.700702667236328,770.1595787463802
vender,2023-05-04,11.124296188354492,0.0
comprar,2023-05-05,11.124296188354492,770.1595787463802
vender,2023-05-07,11.408650398254396,0.0
comprar,2023-05-08,11.425884246826172,768.9979344246373
vender,2023-05-14,11.201847076416016,0.0
comprar,2023-05-15,10.93472671508789,787.7834982028941
vender,2023-05-16,11.408650398254396,0.0
comprar,2023-05-17,11.477584838867188,783.0520659778228
vender,2023-06-01,11.046744346618652,0.0
comprar,2023-06-02,11.046744346618652,783.0520659778228
vender,2023-06-05,11.382800102233888,0.0
comprar,2023-06-06,11.124296188354492,801.2484552503882
vender,2023-06-13,11.262164115905762,0.0
comprar,2023-06-14,11.391417503356934,792.1570426144618
vender,2023-06-15,11.563753128051758,0.0
comprar,2023-06-16,11.563753128051758,792.157042614462
vender,2023-07-06,10.960577011108398,0.0
comprar,2023-07-07,10.960577011108398,792.157042614462
vender,2023-07-12,11.175997734069824,0.0
comprar,2023-07-13,11.107063293457031,797.0734549160178
vender,2023-07-23,11.244932174682615,0.0
comprar,2023-07-26,11.856725692749023,755.9453740463865
vender,2023-07-30,11.9256591796875,0.0
comprar,2023-07-31,11.805023193359377,763.6704089162516
vender,2023-09-13,10.76239013671875,0.0
comprar,2023-09-14,10.702073097229004,767.9744664379367
vender,2023-11-02,10.917492866516112,0.0
comprar,2023-11-03,10.917492866516112,767.9744664379366
vender,2023-11-13,11.83949089050293,0.0
comprar,2023-11-14,11.83949089050293,767.9744664379367
vender,2023-11-15,12.658086776733398,0.0
comprar,2023-11-16,12.804573059082031,759.1887205947845
vender,2023-11-19,14.019542694091797,0.0
comprar,2023-11-20,14.139431953430176,752.751504891216
vender,2023-11-30,15.493783950805664,0.0
comprar,2023-12-01,15.493783950805664,752.751504891216
vender,2023-12-12,15.818829536437988,0.0
comprar,2023-12-13,15.900090217590332,748.9044135106752
vender,2023-12-14,16.27931022644043,0.0
comprar,2023-12-15,16.27931022644043,748.9044135106752
vender,2023-12-17,16.73076057434082,0.0
comprar,2023-12-18,16.884252548217773,742.0962461756606
vender,2023-12-20,17.200267791748047,0.0
comprar,2023-12-21,17.25444221496582,739.766258592882
vender,2023-12-25,17.480167388916016,0.0
comprar,2023-12-26,17.615602493286133,734.0786688280582
vender,2023-12-27,17.75103759765625,0.0
comprar,2023-12-28,17.75103759765625,734.0786688280582
vender_final,2023-12-31,17.75103759765625,734.0786688280582
