Days,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std,RMSE_Mean,RMSE_Std,R²_Mean,R²_Std
1,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
2,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
3,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
4,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
5,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
6,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
7,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
8,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
9,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
10,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
11,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
12,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
13,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
14,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
15,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
16,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
17,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
18,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
19,0.15257466649580856,0.04205251598466344,0.040399940274807686,0.021903963973176704,0.19494155498012453,0.04897395751924237,0.9377447732416538,0.03653866134760352
