Fold,Days,MAE_Mean,MAE_Std,MSE_Mean,MSE_Std,RMSE_Mean,RMSE_Std,R²_Mean,R²_Std
1,1,64.65591585970853,1.7062241019984035e-13,9078.477985823009,1.8199723754649638e-10,95.28104735897381,4.2655602549960086e-14,-0.8476264869782718,1.4440698779934404e-15
2,1,65.31564230640814,1.1517012688489224e-12,9141.090508729747,1.7289737566917157e-10,95.6090503494818,1.4218534183320031e-13,-0.8603696756496965,9.664159952725333e-15
3,1,41.81812263976936,4.2655602549960086e-14,3923.939621216713,6.415402623513997e-11,62.64135711506185,4.407745596829209e-13,0.20141056765377782,1.8883990712221915e-15
4,1,4.674395423213555,9.50864473509527e-14,81.03331014665903,8.531120509992017e-14,9.00185037348761,1.2796680764988026e-13,0.9835083229106641,1.3329875796862527e-15
5,1,8.587124939871144,1.368533915144553e-13,273.5529493365581,2.5593361529976053e-12,16.539436185570477,9.242047219158019e-14,0.9443272815317325,6.998184793352827e-15
1,2,63.873967775000885,1.0592807966573423e-12,8801.393730642376,8.917864639778322e-11,93.81574351164296,1.2512310081321627e-12,-0.7912346274562416,1.2663382007019401e-14
2,2,55.28526490862374,1.0877178650239822e-12,6605.933595171402,1.255780939070825e-10,81.27689459601297,4.549930938662409e-13,-0.3444211574581259,2.9992220542940688e-15
3,2,10.833373693874021,6.931535414368515e-14,451.9069065722676,4.8911757590620905e-12,21.25810213947302,3.128077520330407e-13,0.908029168376549,6.998184793352827e-15
4,2,8.461127507763859,6.753803737077014e-14,225.37126684626003,3.9243154345963284e-12,15.012370460598818,1.6529045988109535e-13,0.9541330691466947,1.033065374256846e-14
5,2,7.26957711802703,5.154218641453511e-14,199.15050750632878,2.900580973397286e-12,14.112069568505142,1.5818119278943532e-13,0.9594694347790127,2.1438883573287233e-14
1,3,61.73784537552241,2.8437068366640063e-13,8240.268270109256,1.5469765191452193e-10,90.77592340543423,4.549930938662409e-13,-0.6770372208574484,1.3329875796862527e-15
2,3,10.868616256549084,1.5107192569777532e-13,438.5509186853496,4.094937844796168e-12,20.941607356775396,2.6304288239142054e-13,0.9107472973247257,1.421853418332003e-14
3,3,9.322445173242953,2.6659751593725057e-14,320.98517604672554,2.1612171958646446e-12,17.91605916619851,1.777316772915004e-14,0.9346739608555604,1.0219571444261271e-14
4,3,5.077635178040738,6.931535414368515e-14,83.92979731171273,3.5546335458300074e-13,9.161320718745346,1.1374827346656023e-13,0.9829188377849422,6.553855600124076e-15
5,3,8.74652970377879,4.0878285777045086e-14,279.94786097970155,4.54993093866241e-12,16.731642506929838,1.3152144119571027e-13,0.9430257647720776,3.887880440751571e-15
1,4,57.32676096765837,1.1445920017572624e-12,7111.174045209107,4.0949378447961684e-11,84.32777742362897,9.952973928324021e-14,-0.4472473629474128,4.998703423823448e-15
2,4,11.486445390894913,2.0794606243105544e-13,485.3591025638043,7.678008458992817e-12,22.03086704067283,3.554633545830008e-14,0.901221021719154,1.5551521763006283e-15
3,4,10.191464112077878,8.708852187283518e-14,365.3507235229766,6.085532630460973e-12,19.11414982474964,3.4479945394551075e-13,0.9256448225329661,1.4107451885012842e-14
4,4,8.820936173136236,1.4929460892486031e-13,261.2635632790502,4.8911757590620905e-12,16.163649441850993,1.7417704374567036e-13,0.9468283427540638,1.6218015552849408e-14
5,4,10.115813284146867,1.7950899406441538e-13,374.1738694135619,4.094937844796168e-12,19.34357437015098,1.919502114748204e-13,0.9238491600742033,1.5440439464699094e-14
1,5,49.91298526924579,1.002406659924062e-12,5443.595371223419,9.099861877324818e-13,73.78072493018364,4.265560254996009e-13,-0.10786615485293914,2.2494165407205515e-15
2,5,10.7070771345052,1.5462655924360533e-13,405.06323952347793,3.639944750929927e-12,20.126182934761324,4.86984795778711e-13,0.9175626401674671,1.4107451885012842e-14
3,5,8.499379582333003,4.6210236095790093e-14,254.0884427403121,2.957455110130566e-12,15.940151904555742,2.4882434820810054e-13,0.9482886039753217,9.441995356110958e-15
4,5,9.86888126884114,1.7062241019984035e-13,332.2965156859319,1.421853418332003e-12,18.229002048547038,4.2655602549960086e-14,0.9323718906349823,1.9550484502065043e-14
5,5,7.791859897630004,7.375864607597265e-14,195.445887911037,7.393637775326415e-13,13.980196275840939,1.0841632314781522e-13,0.960223388801054,8.997666162882206e-15
1,6,52.55137640044703,6.042877027911013e-13,6032.561207749009,4.367933701115913e-11,77.66956423045652,1.2512310081321627e-12,-0.22773031583914274,3.4713218220996166e-15
2,6,11.724103496090123,1.7239972697275538e-13,457.79377317878703,4.77742748559553e-12,21.396115843273684,1.2085754055822026e-13,0.9068310897245434,1.033065374256846e-14
3,6,9.471835434050591,9.775242251032521e-14,314.6416693024798,3.9811895713296086e-13,17.738141653016527,1.386307082873703e-13,0.9359650220699645,1.4885027973163156e-14
4,6,6.480582957133876,5.0653528028077604e-14,117.52137122917476,1.1090456662989624e-12,10.840727430812693,2.6659751593725057e-14,0.9760823727686833,1.1552559023947523e-14
5,6,9.644297876831784,5.154218641453511e-14,327.29224209644775,1.5924758285318434e-12,18.091220027860146,1.2441217410405027e-13,0.9333903803172993,6.4427733018168884e-15
