Ticker,Melhor Janela,Saldo Final,Retorno (%),Estratégia Usada,Previsões Razoáveis,Tem Transações
CSNA3.SA,Janela_4,12522.269024632764,25.222690246327637,Media Movel Previsao,True,True
SOJA3.SA,Janela_4,12069.590644983127,20.695906449831273,Media Movel Previsao,True,True
JBSS3.SA,Janela_4,11876.233614839866,18.76233614839866,Media Movel Previsao,True,True
SUZB3.SA,Janela_4,10887.537059323076,8.875370593230764,Media Movel Previsao,True,True
BRFS3.SA,Janela_4,10867.682533426714,8.676825334267141,Media Movel Previsao,True,True
VALE3.SA,Janela_2,9343.04733304966,-6.569526669503394,Media Movel Previsao,True,True
BEEF3.SA,Janela_2,8598.690563489241,-14.01309436510759,Media Movel Previsao,True,True
GGBR3.SA,Janela_3,8553.16329366507,-14.468367063349305,Media Movel Previsao,True,True
