Data,TaxaCambio,Selic,PIB,IPCA,"('BEEF3.SA_Close', 'BEEF3.SA')",Close_Feature,Close_Target
2020-01-01,4.0207,0.017089,7609597000575.82,0.21,,,9.78633975982666
2020-01-02,4.0207,0.017089,7609597000575.82,0.2112903225806451,9.78633975982666,9.78633975982666,10.043258666992188
2020-01-03,4.0516,0.017089,7609597000575.82,0.2125806451612903,10.043258666992188,10.043258666992188,
2020-01-04,4.052666666666666,0.017089,7609597000575.82,0.2138709677419354,,,
2020-01-05,4.053733333333334,0.017089,7609597000575.82,0.2151612903225806,,,10.035475730895996
2020-01-06,4.0548,0.017089,7609597000575.82,0.2164516129032258,10.035475730895996,10.035475730895996,10.494818687438965
2020-01-07,4.0835,0.017089,7609597000575.82,0.2177419354838709,10.494818687438965,10.494818687438965,10.611599922180176
2020-01-08,4.0666,0.017089,7609597000575.82,0.2190322580645161,10.611599922180176,10.611599922180176,10.448104858398438
2020-01-09,4.0738,0.017089,7609597000575.82,0.2203225806451612,10.448104858398438,10.448104858398438,10.40139102935791
2020-01-10,4.0739,0.017089,7609597000575.82,0.2216129032258064,10.40139102935791,10.40139102935791,
2020-01-11,4.0927,0.017089,7609597000575.82,0.2229032258064516,,,
2020-01-12,4.1115,0.017089,7609597000575.82,0.2241935483870967,,,11.335648536682127
2020-01-13,4.1303,0.017089,7609597000575.82,0.2254838709677419,11.335648536682127,11.335648536682127,11.250008583068848
2020-01-14,4.1437,0.017089,7609597000575.82,0.2267741935483871,11.250008583068848,11.250008583068848,11.401546478271484
2020-01-15,4.1616,0.017089,7609597000575.82,0.2280645161290322,11.401546478271484,11.401546478271484,11.868692398071287
2020-01-16,4.172,0.017089,7609597000575.82,0.2293548387096774,11.868692398071287,11.868692398071287,11.757844924926758
2020-01-17,4.1831,0.017089,7609597000575.82,0.2306451612903226,11.757844924926758,11.757844924926758,
2020-01-18,4.182833333333333,0.017089,7609597000575.82,0.2319354838709677,,,
2020-01-19,4.182566666666666,0.017089,7609597000575.82,0.2332258064516129,,,11.773680686950684
2020-01-20,4.1823,0.017089,7609597000575.82,0.234516129032258,11.773680686950684,11.773680686950684,12.050801277160645
2020-01-21,4.2008,0.017089,7609597000575.82,0.2358064516129032,12.050801277160645,12.050801277160645,11.124425888061523
2020-01-22,4.1883,0.017089,7609597000575.82,0.2370967741935483,11.124425888061523,11.124425888061523,11.298617362976074
2020-01-23,4.1656,0.017089,7609597000575.82,0.2383870967741935,11.298617362976074,11.298617362976074,10.372241020202637
2020-01-24,4.1763,0.017089,7609597000575.82,0.2396774193548387,10.372241020202637,10.372241020202637,
2020-01-25,4.190533333333334,0.017089,7609597000575.82,0.2409677419354838,,,
2020-01-26,4.204766666666667,0.017089,7609597000575.82,0.242258064516129,,,9.525043487548828
2020-01-27,4.219,0.017089,7609597000575.82,0.2435483870967741,9.525043487548828,9.525043487548828,9.620055198669434
2020-01-28,4.2058,0.017089,7609597000575.82,0.2448387096774193,9.620055198669434,9.620055198669434,9.4458646774292
2020-01-29,4.2007,0.017089,7609597000575.82,0.2461290322580645,9.4458646774292,9.4458646774292,9.04206085205078
2020-01-30,4.2517,0.017089,7609597000575.82,0.2474193548387097,9.04206085205078,9.04206085205078,9.4458646774292
2020-01-31,4.2689,0.017089,7609597000575.82,0.2487096774193548,9.4458646774292,9.4458646774292,
2020-02-01,4.261566666666667,0.017089,7609597000575.82,0.25,,,
2020-02-02,4.2542333333333335,0.017089,7609597000575.82,0.2437931034482758,,,9.746739387512209
2020-02-03,4.2469,0.017089,7609597000575.82,0.2375862068965517,9.746739387512209,9.746739387512209,9.532960891723633
2020-02-04,4.2375,0.017089,7609597000575.82,0.2313793103448276,9.532960891723633,9.532960891723633,9.580467224121094
2020-02-05,4.2443,0.017089,7609597000575.82,0.2251724137931034,9.580467224121094,9.580467224121094,9.422110557556152
2020-02-06,4.2471,0.016137,7609597000575.82,0.2189655172413793,9.422110557556152,9.422110557556152,8.8441162109375
2020-02-07,4.307,0.016137,7609597000575.82,0.2127586206896551,8.8441162109375,8.8441162109375,
