Data,TaxaCambio,Selic,PIB,IPCA,"('SUZB3.SA_Close', 'SUZB3.SA')",Close_Feature,Close_Target
2020-01-01,4.0207,0.017089,7609597000575.82,0.21,,,36.26406097412109
2020-01-02,4.0207,0.017089,7609597000575.82,0.2112903225806451,36.26406097412109,36.26406097412109,36.13959884643555
2020-01-03,4.0516,0.017089,7609597000575.82,0.2125806451612903,36.13959884643555,36.13959884643555,
2020-01-04,4.052666666666666,0.017089,7609597000575.82,0.2138709677419354,,,
2020-01-05,4.053733333333334,0.017089,7609597000575.82,0.2151612903225806,,,36.07736587524414
2020-01-06,4.0548,0.017089,7609597000575.82,0.2164516129032258,36.07736587524414,36.07736587524414,36.53965759277344
2020-01-07,4.0835,0.017089,7609597000575.82,0.2177419354838709,36.53965759277344,36.53965759277344,38.36220550537109
2020-01-08,4.0666,0.017089,7609597000575.82,0.2190322580645161,38.36220550537109,38.36220550537109,38.264408111572266
2020-01-09,4.0738,0.017089,7609597000575.82,0.2203225806451612,38.264408111572266,38.264408111572266,38.326637268066406
2020-01-10,4.0739,0.017089,7609597000575.82,0.2216129032258064,38.326637268066406,38.326637268066406,
2020-01-11,4.0927,0.017089,7609597000575.82,0.2229032258064516,,,
2020-01-12,4.1115,0.017089,7609597000575.82,0.2241935483870967,,,39.74021911621094
2020-01-13,4.1303,0.017089,7609597000575.82,0.2254838709677419,39.74021911621094,39.74021911621094,39.34014892578125
2020-01-14,4.1437,0.017089,7609597000575.82,0.2267741935483871,39.34014892578125,39.34014892578125,39.95358276367188
2020-01-15,4.1616,0.017089,7609597000575.82,0.2280645161290322,39.95358276367188,39.95358276367188,39.38459777832031
2020-01-16,4.172,0.017089,7609597000575.82,0.2293548387096774,39.38459777832031,39.38459777832031,38.92229843139648
2020-01-17,4.1831,0.017089,7609597000575.82,0.2306451612903226,38.92229843139648,38.92229843139648,
2020-01-18,4.182833333333333,0.017089,7609597000575.82,0.2319354838709677,,,
2020-01-19,4.182566666666666,0.017089,7609597000575.82,0.2332258064516129,,,38.18439102172852
2020-01-20,4.1823,0.017089,7609597000575.82,0.234516129032258,38.18439102172852,38.18439102172852,37.96213150024414
2020-01-21,4.2008,0.017089,7609597000575.82,0.2358064516129032,37.96213150024414,37.96213150024414,39.873573303222656
2020-01-22,4.1883,0.017089,7609597000575.82,0.2370967741935483,39.873573303222656,39.873573303222656,39.51795959472656
2020-01-23,4.1656,0.017089,7609597000575.82,0.2383870967741935,39.51795959472656,39.51795959472656,39.00231170654297
2020-01-24,4.1763,0.017089,7609597000575.82,0.2396774193548387,39.00231170654297,39.00231170654297,
2020-01-25,4.190533333333334,0.017089,7609597000575.82,0.2409677419354838,,,
2020-01-26,4.204766666666667,0.017089,7609597000575.82,0.242258064516129,,,36.38852691650391
2020-01-27,4.219,0.017089,7609597000575.82,0.2435483870967741,36.38852691650391,36.38852691650391,37.02863693237305
2020-01-28,4.2058,0.017089,7609597000575.82,0.2448387096774193,37.02863693237305,37.02863693237305,36.468536376953125
2020-01-29,4.2007,0.017089,7609597000575.82,0.2461290322580645,36.468536376953125,36.468536376953125,36.01512908935547
