Unnamed: 0,TaxaCambio,Selic,PIB,IPCA,"('SOJA3.SA_Close', 'SOJA3.SA')"
2020-01-01,4.0207,0.017089,7609597000575.82,0.21,
2020-01-02,4.0207,0.017089,7609597000575.82,0.2112903225806451,
2020-01-03,4.0516,0.017089,7609597000575.82,0.2125806451612903,
2020-01-04,4.052666666666666,0.017089,7609597000575.82,0.2138709677419354,
2020-01-05,4.053733333333334,0.017089,7609597000575.82,0.2151612903225806,
2020-01-06,4.0548,0.017089,7609597000575.82,0.2164516129032258,
2020-01-07,4.0835,0.017089,7609597000575.82,0.2177419354838709,
2020-01-08,4.0666,0.017089,7609597000575.82,0.2190322580645161,
2020-01-09,4.0738,0.017089,7609597000575.82,0.2203225806451612,
2020-01-10,4.0739,0.017089,7609597000575.82,0.2216129032258064,
2020-01-11,4.0927,0.017089,7609597000575.82,0.2229032258064516,
2020-01-12,4.1115,0.017089,7609597000575.82,0.2241935483870967,
2020-01-13,4.1303,0.017089,7609597000575.82,0.2254838709677419,
2020-01-14,4.1437,0.017089,7609597000575.82,0.2267741935483871,
2020-01-15,4.1616,0.017089,7609597000575.82,0.2280645161290322,
2020-01-16,4.172,0.017089,7609597000575.82,0.2293548387096774,
2020-01-17,4.1831,0.017089,7609597000575.82,0.2306451612903226,
2020-01-18,4.182833333333333,0.017089,7609597000575.82,0.2319354838709677,
2020-01-19,4.182566666666666,0.017089,7609597000575.82,0.2332258064516129,
2020-01-20,4.1823,0.017089,7609597000575.82,0.234516129032258,
2020-01-21,4.2008,0.017089,7609597000575.82,0.2358064516129032,
2020-01-22,4.1883,0.017089,7609597000575.82,0.2370967741935483,
2020-01-23,4.1656,0.017089,7609597000575.82,0.2383870967741935,
2020-01-24,4.1763,0.017089,7609597000575.82,0.2396774193548387,
2020-01-25,4.190533333333334,0.017089,7609597000575.82,0.2409677419354838,
2020-01-26,4.204766666666667,0.017089,7609597000575.82,0.242258064516129,
2020-01-27,4.219,0.017089,7609597000575.82,0.2435483870967741,
2020-01-28,4.2058,0.017089,7609597000575.82,0.2448387096774193,
2020-01-29,4.2007,0.017089,7609597000575.82,0.2461290322580645,
2020-01-30,4.2517,0.017089,7609597000575.82,0.2474193548387097,
2020-01-31,4.2689,0.017089,7609597000575.82,0.2487096774193548,
2020-02-01,4.261566666666667,0.017089,7609597000575.82,0.25,
2020-02-02,4.2542333333333335,0.017089,7609597000575.82,0.2437931034482758,
2020-02-03,4.2469,0.017089,7609597000575.82,0.2375862068965517,
2020-02-04,4.2375,0.017089,7609597000575.82,0.2313793103448276,
