Price,VALE3.SA_Close
Ticker,VALE3.SA
Date,
2020-01-02,33.51133728027344
2020-01-03,33.264610290527344
2020-01-06,33.06722640991211
2020-01-07,33.30779266357422
2020-01-08,33.31394958496094
2020-01-09,32.876014709472656
2020-01-10,32.91302490234375
2020-01-13,34.109642028808594
2020-01-14,34.31935501098633
2020-01-15,34.20832824707031
2020-01-16,34.02945327758789
2020-01-17,35.15822219848633
2020-01-20,35.380271911621094
2020-01-21,34.55991744995117
2020-01-22,34.72644805908203
2020-01-23,34.233001708984375
2020-01-24,33.184425354003906
2020-01-27,31.155115127563477
2020-01-28,31.580717086791992
2020-01-29,31.303150177001953
2020-01-30,31.765758514404297
2020-01-31,31.007083892822266
2020-02-03,31.401838302612305
2020-02-04,32.24070739746094
2020-02-05,32.68480682373047
2020-02-06,32.86368179321289
2020-02-07,32.13584518432617
2020-02-10,30.957735061645508
2020-02-11,32.10500717163086
2020-02-12,32.73415756225586
2020-02-13,32.160518646240234
2020-02-14,31.457351684570312
2020-02-17,32.94386672973633
2020-02-18,32.56761169433594
2020-02-19,32.57377624511719
2020-02-20,32.19752883911133
2020-02-21,30.920726776123047
2020-02-26,27.972370147705078
2020-02-27,27.429580688476562
2020-02-28,27.330888748168945
2020-03-02,28.595354080200195
2020-03-03,28.58917999267578
2020-03-04,29.958499908447266
2020-03-05,28.8975887298584
2020-03-06,27.515932083129883
2020-03-09,23.333955764770508
2020-03-10,27.639293670654297
2020-03-11,25.128873825073242
2020-03-12,21.80426025390625
2020-03-13,26.461185455322266
2020-03-16,24.08029556274414
2020-03-17,25.60381507873535
2020-03-18,23.839738845825195
2020-03-19,22.451913833618164
2020-03-20,21.70557403564453
2020-03-23,21.033248901367188
2020-03-24,23.216760635375977
2020-03-25,25.196725845336914
2020-03-26,25.90605354309082
2020-03-27,24.734113693237305
2020-03-30,25.764188766479492
2020-03-31,26.658565521240234
2020-04-01,26.751087188720703
2020-04-02,26.387170791625977
2020-04-03,24.98084259033203
2020-04-06,26.603057861328125
2020-04-07,27.003978729248047
2020-04-08,26.837444305419922
2020-04-09,26.695571899414062
2020-04-13,27.49125862121582
2020-04-14,27.46658706665039
2020-04-15,26.640060424804688
2020-04-16,26.374834060668945
2020-04-17,27.139677047729492
2020-04-20,26.189788818359375
2020-04-22,26.461185455322266
2020-04-23,26.837444305419922
2020-04-24,26.99164390563965
2020-04-27,27.478927612304688
2020-04-28,27.515932083129883
2020-04-29,28.823570251464844
2020-04-30,27.670133590698242
2020-05-04,27.09650230407715
2020-05-05,26.954633712768555
2020-05-06,27.343225479125977
2020-05-07,28.40413475036621
2020-05-08,30.13121223449707
2020-05-11,29.440378189086914
2020-05-12,29.273845672607422
2020-05-13,29.939998626708984
2020-05-14,29.662437438964844
2020-05-15,29.637760162353516
2020-05-18,31.617721557617188
2020-05-19,32.25920867919922
2020-05-20,32.382564544677734
2020-05-21,31.53753662109375
2020-05-22,31.007083892822266
2020-05-25,30.902225494384766
2020-05-26,30.347097396850586
2020-05-27,31.235300064086914
2020-05-28,30.896059036254883
2020-05-29,32.690982818603516
2020-06-01,32.95002746582031
2020-06-02,32.95002746582031
2020-06-03,33.09807205200195
2020-06-04,34.33169174194336
2020-06-05,33.684043884277344
2020-06-08,33.78889846801758
2020-06-09,33.918434143066406
2020-06-10,33.43114471435547
2020-06-12,32.93770217895508
2020-06-15,33.2337646484375
2020-06-16,34.16515350341797
