Price,SOJA3.SA_Close
Ticker,SOJA3.SA
Date,
2021-04-30,14.651415824890137
2021-05-03,14.506710052490234
2021-05-04,14.380091667175293
2021-05-05,14.126858711242676
2021-05-06,13.81031608581543
2021-05-07,13.837449073791504
2021-05-10,13.665610313415527
2021-05-11,13.566125869750977
2021-05-12,13.611346244812012
2021-05-13,14.633329391479492
2021-05-14,15.103621482849121
2021-05-17,15.266412734985352
2021-05-18,15.121706008911133
2021-05-19,14.72376823425293
2021-05-20,14.289652824401855
2021-05-21,14.434358596801758
2021-05-24,14.660459518432617
2021-05-25,14.488622665405273
2021-05-26,14.49766731262207
2021-05-27,14.380091667175293
2021-05-28,14.22634220123291
2021-05-31,14.06355094909668
2021-06-01,14.470535278320312
2021-06-02,14.144947052001953
2021-06-04,14.172079086303711
2021-06-07,13.936932563781738
2021-06-08,13.593255996704102
2021-06-09,13.9007568359375
2021-06-10,14.144947052001953
2021-06-11,14.027374267578125
2021-06-14,13.837449073791504
2021-06-15,13.918845176696777
2021-06-16,13.945977210998535
2021-06-17,13.882670402526855
2021-06-18,13.81935977935791
2021-06-21,13.665610313415527
2021-06-22,13.538993835449219
2021-06-23,13.222450256347656
2021-06-24,13.46664047241211
2021-06-25,13.448553085327148
2021-06-28,13.29480266571045
2021-06-29,13.837449073791504
2021-06-30,13.98215389251709
2021-07-01,13.665610313415527
2021-07-02,13.63847827911377
2021-07-05,13.575169563293457
2021-07-06,13.493772506713867
2021-07-07,13.47568416595459
2021-07-08,13.47568416595459
2021-07-12,13.3400239944458
2021-07-13,13.204361915588379
2021-07-14,13.213406562805176
2021-07-15,13.141054153442383
2021-07-16,13.222450256347656
2021-07-19,12.706938743591309
2021-07-20,12.57127571105957
2021-07-21,11.99245548248291
2021-07-22,11.757308959960938
2021-07-23,11.856795310974121
2021-07-26,12.182380676269531
2021-07-27,12.336130142211914
2021-07-28,12.39039421081543
2021-07-29,12.345173835754395
2021-07-30,12.607453346252441
2021-08-02,13.005392074584961
2021-08-03,12.942083358764648
2021-08-04,12.50796890258789
2021-08-05,12.236645698547363
2021-08-06,12.625541687011719
2021-08-09,13.113922119140625
2021-08-10,13.023478507995605
2021-08-11,12.978259086608887
2021-08-12,13.186274528503418
2021-08-13,13.656564712524414
2021-08-16,12.82451057434082
2021-08-17,12.48988151550293
2021-08-18,13.141054153442383
2021-08-19,13.204361915588379
2021-08-20,13.204361915588379
2021-08-23,13.095831871032715
2021-08-24,13.005392074584961
2021-08-25,12.933040618896484
2021-08-26,12.806422233581543
2021-08-27,12.842597961425781
2021-08-30,12.643628120422363
2021-08-31,12.444658279418945
2021-09-01,12.58031940460205
2021-09-02,12.652673721313477
2021-09-03,12.29995346069336
2021-09-06,12.679805755615234
2021-09-08,12.715982437133789
2021-09-09,12.435615539550781
2021-09-10,12.66171646118164
2021-09-13,12.643628120422363
2021-09-14,12.779291152954102
2021-09-15,12.66171646118164
2021-09-16,12.66171646118164
2021-09-17,12.435615539550781
2021-09-20,12.526056289672852
2021-09-21,12.57127571105957
2021-09-22,12.905906677246094
2021-09-23,13.47568416595459
2021-09-24,13.159143447875977
2021-09-27,12.978259086608887
2021-09-28,13.041568756103516
2021-09-29,12.99634838104248
2021-09-30,12.706938743591309
