Price,GGBR3.SA_Close
Ticker,GGBR3.SA
Date,
2020-01-02,9.083900451660156
2020-01-03,9.094206809997559
2020-01-06,8.965392112731934
2020-01-07,9.068442344665527
2020-01-08,9.114815711975098
2020-01-09,9.047832489013672
2020-01-10,9.150883674621582
2020-01-13,9.583695411682129
2020-01-14,9.480646133422852
2020-01-15,9.506406784057617
2020-01-16,9.56308650970459
2020-01-17,9.655828475952148
2020-01-20,10.026813507080078
2020-01-21,9.789795875549316
2020-01-22,9.8516263961792
2020-01-23,9.867084503173828
2020-01-24,9.73311996459961
2020-01-27,9.274543762207031
2020-01-28,9.279695510864258
2020-01-29,9.351832389831543
2020-01-30,9.413662910461426
2020-01-31,9.418814659118652
2020-02-03,9.377593994140625
2020-02-04,9.635221481323242
2020-02-05,9.789795875549316
2020-02-06,9.686745643615723
2020-02-07,9.274543762207031
2020-02-10,9.186952590942383
2020-02-11,9.552779197692871
2020-02-12,9.532170295715332
2020-02-13,9.547627449035645
2020-02-14,9.341527938842773
2020-02-17,9.439424514770508
2020-02-18,9.238476753234863
2020-02-19,9.212715148925781
2020-02-20,8.955086708068848
2020-02-21,8.604715347290039
2020-02-26,7.728786945343018
2020-02-27,7.759702205657959
2020-02-28,7.61543083190918
2020-03-02,7.992330074310303
2020-03-03,8.038797378540039
2020-03-04,8.260807991027832
2020-03-05,7.894234657287598
2020-03-06,7.228205680847168
2020-03-09,6.097508907318115
2020-03-10,6.551851272583008
2020-03-11,5.937455654144287
2020-03-12,5.219797134399414
2020-03-13,5.782565593719482
2020-03-16,5.20430850982666
2020-03-17,5.054581165313721
2020-03-18,4.54344367980957
2020-03-19,4.491814136505127
2020-03-20,4.182033538818359
2020-03-23,3.9342098236083984
2020-03-24,4.073609828948975
2020-03-25,4.553769588470459
2020-03-26,4.873876094818115
2020-03-27,4.749964714050293
2020-03-30,4.54344367980957
2020-03-31,4.801593780517578
2020-04-01,4.388554096221924
2020-04-02,4.5279541015625
2020-04-03,4.285293102264404
2020-04-06,4.445346355438232
2020-04-07,4.708660125732422
2020-04-08,5.09072208404541
2020-04-09,4.9358320236206055
2020-04-13,5.173330783843994
2020-04-14,5.281754493713379
2020-04-15,5.24044942855835
2020-04-16,5.261100769042969
2020-04-17,5.472784519195557
2020-04-20,5.395338535308838
2020-04-22,5.405664920806885
2020-04-23,5.390176773071289
2020-04-24,5.008113384246826
2020-04-27,5.209471225738525
2020-04-28,5.3385467529296875
2020-04-29,5.524413585662842
2020-04-30,5.550230503082275
2020-05-04,5.297242641448975
2020-05-05,5.281754493713379
2020-05-06,5.230123996734619
2020-05-07,5.519251346588135
2020-05-08,5.643163681030273
2020-05-11,5.472784519195557
2020-05-12,5.25593900680542
2020-05-13,5.0494184494018555
2020-05-14,5.054581165313721
2020-05-15,4.879039764404297
2020-05-18,5.214635848999023
2020-05-19,5.2507758140563965
2020-05-20,5.224960803985596
2020-05-21,5.183656215667725
2020-05-22,5.157841205596924
2020-05-25,5.3385467529296875
2020-05-26,5.224960803985596
2020-05-27,5.632838249206543
2020-05-28,5.849682807922363
2020-05-29,5.679305076599121
2020-06-01,5.803216457366943
2020-06-02,6.195605754852295
2020-06-03,6.598319053649902
2020-06-04,6.655113697052002
2020-06-05,6.6499505043029785
2020-06-08,6.758372783660889
2020-06-09,6.608645439147949
2020-06-10,6.3401689529418945
2020-06-12,6.118160247802734
2020-06-15,6.087182998657227
2020-06-16,6.546689033508301
2020-06-17,6.546689033508301
2020-06-18,6.6189727783203125
2020-06-19,6.810002326965332
2020-06-22,6.675764083862305
2020-06-23,6.892611980438232
2020-06-24,6.820329189300537
2020-06-25,6.763535499572754
2020-06-26,6.608645439147949
