Data,Preço Real,Preço Previsto
2023-01-05,12.912625312805176,-1.9652159
2023-01-06,13.441356658935549,-1.9592268
2023-01-07,13.441356658935549,-1.3094008
2023-01-08,13.441356658935549,-0.59637666
2023-01-09,13.499186515808104,-0.68407655
2023-01-10,14.14357852935791,-1.0007384
2023-01-11,14.168363571166992,-0.6234553
2023-01-12,13.986611366271973,-0.095085405
2023-01-13,13.95356559753418,0.21155332
2023-01-14,13.95356559753418,0.0022370627
2023-01-15,13.95356559753418,0.11492894
2023-01-16,13.722246170043944,0.12817834
2023-01-17,13.862689971923828,0.11194203
2023-01-18,14.300545692443848,0.014634829
2023-01-19,14.383159637451172,0.1418445
2023-01-20,14.73013973236084,0.29663536
2023-01-21,14.73013973236084,0.36904594
2023-01-22,14.73013973236084,0.2487695
2023-01-23,14.829277992248535,0.8364322
2023-01-24,14.564910888671877,0.74560046
2023-01-25,14.548388481140137,0.92505145
2023-01-26,15.19278049468994,0.9549167
2023-01-27,15.03581428527832,1.0380771
2023-01-28,15.03581428527832,1.5100286
2023-01-29,15.03581428527832,1.3138378
2023-01-30,15.118426322937012,1.2177827
2023-01-31,15.283656120300291,1.3036745
2023-02-01,15.291918754577637,1.4416797
2023-02-02,14.457512855529783,1.5995529
2023-02-03,14.564910888671877,1.7583959
2023-02-04,14.564910888671877,1.3153989
2023-02-05,14.564910888671877,1.2465398
2023-02-06,14.267500877380373,0.9678905
2023-02-07,14.284024238586426,1.1608627
2023-02-08,14.300545692443848,0.91321826
2023-02-09,14.118794441223145,0.8890989
2023-02-10,14.094009399414062,0.95737624
2023-02-11,14.094009399414062,0.68152213
2023-02-12,14.094009399414062,0.6954305
2023-02-13,14.036179542541504,0.78702235
2023-02-14,14.077486991882324,0.87232184
2023-02-15,14.597957611083984,0.7860048
2023-02-16,14.837539672851562,0.703532
2023-02-17,14.374897956848145,0.8651006
2023-02-18,14.374897956848145,0.8145969
2023-02-19,14.374897956848145,0.76361823
2023-02-20,14.374897956848145,0.81619906
2023-02-21,14.374897956848145,0.8223417
2023-02-22,14.33359146118164,0.79697776
2023-02-23,14.399682998657228,0.7327945
2023-02-24,13.647892951965332,0.726423
2023-02-25,13.647892951965332,0.71184325
2023-02-26,13.647892951965332,0.3344209
2023-02-27,13.821382522583008,0.030544024
2023-02-28,13.77181339263916,0.30815956
2023-03-01,14.821017265319824,0.25417492
2023-03-02,14.680572509765623,0.15140603
2023-03-03,15.068859100341797,0.6221044
2023-03-04,15.068859100341797,0.67843986
2023-03-05,15.068859100341797,0.6475246
2023-03-06,14.490559577941896,0.82775855
2023-03-07,14.292283058166504,0.8148887
2023-03-08,14.862324714660645,0.55348086
2023-03-09,13.664416313171388,0.5042455
2023-03-10,13.152206420898438,0.90296435
2023-03-11,13.152206420898438,0.30581257
2023-03-12,13.152206420898438,-0.4680064
2023-03-13,13.267866134643556,-0.36167744
2023-03-14,12.986977577209473,-0.2872527
2023-03-15,12.202141761779783,-0.40686443
2023-03-16,12.210402488708496,-0.6590636
2023-03-17,12.061697006225586,-1.0988028
2023-03-18,12.061697006225586,-1.1921198
2023-03-19,12.061697006225586,-0.9240458
2023-03-20,11.838637351989746,-1.0815089
2023-03-21,11.689931869506836,-1.1895792
2023-03-22,11.764284133911133,-1.3226683
2023-03-23,11.392520904541016,-1.4854643
2023-03-24,11.37599754333496,-1.4646914
2023-03-25,11.37599754333496,-1.7056181
2023-03-26,11.37599754333496,-1.7657645
2023-03-27,11.442089080810549,-1.7284606
2023-03-28,11.912991523742676,-1.6083968
2023-03-29,12.160834312438965,-1.5862048
2023-03-30,12.821748733520508,-1.3070948
2023-03-31,12.755657196044922,-1.0877516
2023-04-01,12.755657196044922,-0.87048554
2023-04-02,12.755657196044922,-0.8326628
2023-04-03,12.474767684936523,-0.8888762
2023-04-04,12.28475570678711,-0.91759706
2023-04-05,12.14431095123291,-1.0426657
2023-04-06,12.036911964416504,-1.1954157
2023-04-07,12.036911964416504,-1.3426344
2023-04-08,12.036911964416504,-1.4033282
2023-04-09,12.036911964416504,-1.6352217
2023-04-10,12.491291046142578,-1.6357367
2023-04-11,13.358741760253906,-1.7296755
2023-04-12,13.243083000183104,-1.4556391
2023-04-13,12.920886993408203,-0.87713265
2023-04-14,11.970820426940918,-0.7999556
2023-04-15,11.970820426940918,-1.3123744
2023-04-16,11.970820426940918,-1.8574774
2023-04-17,12.127788543701172,-2.0258582
2023-04-18,12.359108924865724,-1.8170168
2023-04-19,12.061697006225586,-1.9259245
2023-04-20,12.003866195678713,-2.0373957
2023-04-21,12.003866195678713,-2.3974707
2023-04-22,12.003866195678713,-2.5069506
2023-04-23,12.003866195678713,-2.295088
2023-04-24,11.607317924499512,-2.383217
2023-04-25,11.309906005859377,-2.4743617
2023-04-26,11.202507972717283,-2.726946
2023-04-27,11.43382740020752,-2.9614737
2023-04-28,11.739500045776367,-2.9913619
2023-04-29,11.739500045776367,-2.8203986
2023-04-30,11.739500045776367,-2.7194445
2023-05-01,11.739500045776367,-2.9501612
2023-05-02,10.960577964782717,-3.087086
2023-05-03,11.081212043762209,-3.0832503
2023-05-04,10.391867637634276,-3.4716017
2023-05-05,11.124296188354492,-3.5003493
2023-05-06,11.124296188354492,-3.6597598
2023-05-07,11.124296188354492,-3.44298
2023-05-08,11.408650398254396,-3.3665335
2023-05-09,11.425885200500488,-3.6792471
2023-05-10,11.210463523864746,-3.5909064
2023-05-11,11.038127899169922,-3.5614798
2023-05-12,10.995044708251951,-3.6881945
2023-05-13,10.995044708251951,-3.7481272
