Ticker,Janela,MAE,MSE,RMSE,R2,Var_Real,Var_Pred,Prop_Var,Travado
BEEF3.SA,1,0.3174897089660892,0.1979059126640559,0.4448661738816022,0.9417087341560619,0.195114782559293,0.20337385,1.042329272668689,Não
BEEF3.SA,2,0.2841219998956696,0.15964174759438457,0.39955193353853835,0.9528477771949475,0.1950433472409298,0.19158663,0.9822771771835502,Não
BEEF3.SA,3,0.2951193595419125,0.16229871257729075,0.40286314373157883,0.9518514703962795,0.19483747163659637,0.18533391,0.9512231196979165,Não
BEEF3.SA,4,0.2804815261090388,0.16726182785367416,0.40897656149671235,0.9500948743361579,0.1945215027773599,0.19285525,0.9914341142859868,Não
BEEF3.SA,5,0.29767874337027594,0.16929971683971473,0.41146046813723763,0.9491624465848227,0.19414758946016838,0.18708093,0.963601635044391,Não
BRFS3.SA,1,0.3090608435941029,0.14131477519591298,0.37591857522063604,0.9459175384104811,0.11750687386639955,0.1144205,0.9737345536739052,Não
BRFS3.SA,2,0.2939377638601487,0.13177182975268,0.3630038977100384,0.9492809895418897,0.11708595590285002,0.11452506,0.9781280469747898,Não
BRFS3.SA,3,0.29046993023953455,0.12794443705313288,0.35769321639238966,0.9506271665305701,0.11686458730656898,0.11302371,0.9671339781878787,Não
BRFS3.SA,4,0.288151911603726,0.12490453336418958,0.35341835459436677,0.9516719909526214,0.11663832488450014,0.11290678,0.968007526517744,Não
BRFS3.SA,5,0.2912092987371951,0.13169450317477918,0.3628973727857219,0.9490281725908587,0.1165617257111296,0.11699047,1.003678254438745,Não
CSNA3.SA,1,0.34246237364857784,0.2291717009456252,0.4787188119821752,0.9334016256751818,0.1546808407211361,0.14937373,0.9656898964361352,Não
CSNA3.SA,2,0.3441987425331178,0.22396108145011293,0.47324526563940705,0.935164371150164,0.1549537717421945,0.15155509,0.9780664867893978,Não
CSNA3.SA,3,0.348257387900839,0.2129527319990191,0.4614680183924116,0.9385944023074857,0.15527719605034795,0.15074521,0.9708135957252236,Não
CSNA3.SA,4,0.34182531716393644,0.20659056767273845,0.45452235112559475,0.9406242611978812,0.15557626577879238,0.154221,0.991288725919682,Não
CSNA3.SA,5,0.33230940893353744,0.1991025329331293,0.4462090686361375,0.9429581550871159,0.15587126073526034,0.15449241,0.9911539003946559,Não
GGBR3.SA,1,0.3105757786677434,0.1560768656548131,0.39506564727246674,0.8539708643839741,0.0620054486923293,0.05833615,0.940822962037019,Não
GGBR3.SA,2,0.30007833387793564,0.1513373758667934,0.38902104810253313,0.8589449461480873,0.062120170523334024,0.05846003,0.9410796881630827,Não
GGBR3.SA,3,0.29146635094467477,0.14637744309365355,0.38259305154910167,0.8640307925239831,0.06223223844199877,0.0599983,0.9641031952022514,Não
GGBR3.SA,4,0.28288852582212354,0.1402674089934251,0.3745229085028379,0.8701915033333038,0.062353130952129604,0.059846655,0.9598019156453588,Não
GGBR3.SA,5,0.3020369094095112,0.1589331240233816,0.3986641744919922,0.8533410779375495,0.06245182705468297,0.061059833,0.9777109085931606,Não
JBSS3.SA,1,0.29231324734438235,0.16399535222480277,0.4049633961542731,0.9645870404421495,0.12368512272962258,0.117645115,0.951166252366802,Não
JBSS3.SA,2,0.28019790491346513,0.1582260862952676,0.39777642752590003,0.9659103599424325,0.12384342973641514,0.120129935,0.9700146039162715,Não
JBSS3.SA,3,0.29626951191233813,0.16518804693333713,0.40643332409306343,0.964479375295998,0.1239868217870113,0.11865316,0.9569820534450993,Não
JBSS3.SA,4,0.33587894174787747,0.19197554766028344,0.4381501428280989,0.9587467112347031,0.12406532809454521,0.11540191,0.9301705039409501,Não
JBSS3.SA,5,0.2845776406503322,0.1592347951294475,0.39904234753901435,0.9657972115768918,0.12413169123205758,0.11993866,0.9662210793818766,Não
SOJA3.SA,1,0.2945347025326872,0.15156977848047665,0.3893196353646662,0.9188236335717023,0.1301901886750355,0.12334137,0.9473937161005529,Não
SOJA3.SA,2,0.306008474613593,0.1625198003120781,0.4031374459313822,0.912416065965305,0.12967710804038918,0.12237953,0.9437249823447424,Não
SOJA3.SA,3,0.30508271431436357,0.1616600868809897,0.40206975375050247,0.9123762770199537,0.1291984242837281,0.12224678,0.9461940436129183,Não
SOJA3.SA,4,0.302499255195993,0.1602417119715416,0.4003020259398416,0.913025980386739,0.12903118728483587,0.12223243,0.9473091913304713,Não
