Data,Preço Real,Preço Previsto
2023-01-16,13.722246170043944,13.590282
2023-01-17,13.862689971923828,13.601448
2023-01-18,14.300545692443848,13.609148
2023-01-19,14.383159637451172,13.615471
2023-01-20,14.73013973236084,13.633197
2023-01-21,14.73013973236084,13.651405
2023-01-22,14.73013973236084,13.6693945
2023-01-23,14.829277992248535,13.681553
2023-01-24,14.564910888671877,13.68984
2023-01-25,14.548388481140137,13.697442
2023-01-26,15.19278049468994,13.699761
2023-01-27,15.03581428527832,13.699804
2023-01-28,15.03581428527832,13.707909
2023-01-29,15.03581428527832,13.719784
2023-01-30,15.118426322937012,13.733623
2023-01-31,15.283656120300291,13.74681
2023-02-01,15.291918754577637,13.760626
2023-02-02,14.457512855529783,13.774883
2023-02-03,14.564910888671877,13.784271
2023-02-04,14.564910888671877,13.781681
2023-02-05,14.564910888671877,13.781331
2023-02-06,14.267500877380373,13.780781
2023-02-07,14.284024238586426,13.781616
2023-02-08,14.300545692443848,13.777758
2023-02-09,14.118794441223145,13.775568
2023-02-10,14.094009399414062,13.779402
2023-02-11,14.094009399414062,13.785619
2023-02-12,14.094009399414062,13.784659
2023-02-13,14.036179542541504,13.782403
2023-02-14,14.077486991882324,13.778036
2023-02-15,14.597957611083984,13.769598
2023-02-16,14.837539672851562,13.766634
2023-02-17,14.374897956848145,13.769705
2023-02-18,14.374897956848145,13.77676
2023-02-19,14.374897956848145,13.778586
2023-02-20,14.374897956848145,13.776891
2023-02-21,14.374897956848145,13.773487
2023-02-22,14.33359146118164,13.768323
2023-02-23,14.399682998657228,13.768017
2023-02-24,13.647892951965332,13.764649
2023-02-25,13.647892951965332,13.762969
2023-02-26,13.647892951965332,13.755785
2023-02-27,13.821382522583008,13.748855
2023-02-28,13.77181339263916,13.742449
2023-03-01,14.821017265319824,13.738576
2023-03-02,14.680572509765623,13.73733
2023-03-03,15.068859100341797,13.740968
2023-03-04,15.068859100341797,13.737974
2023-03-05,15.068859100341797,13.737818
2023-03-06,14.490559577941896,13.742344
2023-03-07,14.292283058166504,13.747338
2023-03-08,14.862324714660645,13.746984
2023-03-09,13.664416313171388,13.742797
2023-03-10,13.152206420898438,13.74271
2023-03-11,13.152206420898438,13.738108
2023-03-12,13.152206420898438,13.726643
2023-03-13,13.267866134643556,13.723571
2023-03-14,12.986977577209473,13.719675
2023-03-15,12.202141761779783,13.716283
2023-03-16,12.210402488708496,13.711126
2023-03-17,12.061697006225586,13.697778
2023-03-18,12.061697006225586,13.673607
2023-03-19,12.061697006225586,13.648765
2023-03-20,11.838637351989746,13.620228
2023-03-21,11.689931869506836,13.596155
2023-03-22,11.764284133911133,13.575322
2023-03-23,11.392520904541016,13.558771
2023-03-24,11.37599754333496,13.54546
2023-03-25,11.37599754333496,13.528309
2023-03-26,11.37599754333496,13.51569
2023-03-27,11.442089080810549,13.503562
2023-03-28,11.912991523742676,13.489715
2023-03-29,12.160834312438965,13.473352
2023-03-30,12.821748733520508,13.459364
2023-03-31,12.755657196044922,13.447283
2023-04-01,12.755657196044922,13.444479
2023-04-02,12.755657196044922,13.442865
2023-04-03,12.474767684936523,13.442709
2023-04-04,12.28475570678711,13.441505
2023-04-05,12.14431095123291,13.43792
2023-04-06,12.036911964416504,13.431867
2023-04-07,12.036911964416504,13.42639
2023-04-08,12.036911964416504,13.418581
2023-04-09,12.036911964416504,13.413373
2023-04-10,12.491291046142578,13.409499
2023-04-11,13.358741760253906,13.405867
2023-04-12,13.243083000183104,13.403542
2023-04-13,12.920886993408203,13.400541
2023-04-14,11.970820426940918,13.391842
2023-04-15,11.970820426940918,13.384562
2023-04-16,11.970820426940918,13.371397
2023-04-17,12.127788543701172,13.358538
2023-04-18,12.359108924865724,13.345928
2023-04-19,12.061697006225586,13.33559
2023-04-20,12.003866195678713,13.331241
2023-04-21,12.003866195678713,13.328401
2023-04-22,12.003866195678713,13.323824
2023-04-23,12.003866195678713,13.320194
2023-04-24,11.607317924499512,13.316799
2023-04-25,11.309906005859377,13.313568
2023-04-26,11.202507972717283,13.306736
2023-04-27,11.43382740020752,13.300298
2023-04-28,11.739500045776367,13.286858
2023-04-29,11.739500045776367,13.273496
2023-04-30,11.739500045776367,13.263384
2023-05-01,11.739500045776367,13.261279
2023-05-02,10.960577964782717,13.260359
2023-05-03,11.081212043762209,13.259976
2023-05-04,10.391867637634276,13.251629
2023-05-05,11.124296188354492,13.237683
2023-05-06,11.124296188354492,13.219187
2023-05-07,11.124296188354492,13.205147
2023-05-08,11.408650398254396,13.192159
2023-05-09,11.425885200500488,13.181268
2023-05-10,11.210463523864746,13.174195
2023-05-11,11.038127899169922,13.168047
2023-05-12,10.995044708251951,13.162238
2023-05-13,10.995044708251951,13.156093
2023-05-14,10.995044708251951,13.14774
2023-05-15,11.201848030090332,13.136738
2023-05-16,10.93472671508789,13.124517
2023-05-17,11.408650398254396,13.114931
2023-05-18,11.477584838867188,13.104026
2023-05-19,11.54651927947998,13.103275
2023-05-20,11.54651927947998,13.102047
2023-05-21,11.54651927947998,13.106878
2023-05-22,11.54651927947998,13.106461
2023-05-23,11.296632766723633,13.105613
2023-05-24,10.865792274475098,13.10441
2023-05-25,10.615903854370115,13.09895
2023-05-26,10.762389183044434,13.094236
2023-05-27,10.762389183044434,13.08972
2023-05-28,10.762389183044434,13.087972
2023-05-29,10.745157241821287,13.0859375
2023-05-30,10.340167045593262,13.083215
2023-05-31,10.4694185256958,13.084705
2023-06-01,10.52973747253418,13.082989
2023-06-02,11.046745300292969,13.079927
2023-06-03,11.046745300292969,13.069954
