Correlation_Type,Variable_1,Variable_2,Correlation
Macro vs Micro Target,TaxaCambio,Preço,-0.11643437074323248
Macro vs Micro Target,Selic,Preço,0.5005372947780321
Macro vs Micro Target,PIB,Preço,0.26907318967774263
Macro vs Micro Target,IPCA,Preço,-0.26652722147379976
Micro vs Micro Target,ROA,Preço,0.055413938113172384
Micro vs Micro Target,ROE,Preço,0.1817370880804757
Micro vs Micro Target,Margem Líquida,Preço,-0.07880645571794069
Micro vs Micro Target,P/L,Preço,0.2584255696460743
Micro vs Micro Target,VP,Preço,0.22793787541057403
Micro vs Micro Target,Preço_anterior,Preço,0.9926368841569888
