Macro_Variable,BEEF3.SA,BRFS3.SA,CSNA3.SA,GGBR3.SA,JBSS3.SA,SOJA3.SA,SUZB3.SA,VALE3.SA
IPCA,-0.2665,0.2253,0.5768,0.2582,0.3134,0.4525,0.4806,0.4493
PIB,0.2691,-0.7191,0.0109,0.8483,0.2035,-0.5834,0.2574,0.6768
Selic,0.5005,-0.7516,-0.3069,0.7020,0.2248,-0.7566,-0.0585,0.4486
TaxaCambio,-0.1164,0.0442,0.2166,-0.1426,0.0949,0.3134,0.3067,0.0368
