Correlation_Type,Variable_1,Variable_2,Correlation
Macro vs Micro Target,TaxaCambio,Preço,0.3134055312976259
Macro vs Micro Target,Selic,Preço,-0.7565861295362661
Macro vs Micro Target,PIB,Preço,-0.5833919715412552
Macro vs Micro Target,IPCA,Preço,0.45250315461733526
Micro vs Micro Target,ROA,Preço,0.5062619221268371
Micro vs Micro Target,ROE,Preço,-0.4448556598664025
Micro vs Micro Target,Margem Líquida,Preço,0.04626321938826345
Micro vs Micro Target,P/L,Preço,0.5834043204945255
Micro vs Micro Target,Preço_anterior,Preço,0.9914273517004563
