Feature_Type,Feature_Name,BEEF3.SA,BRFS3.SA,CSNA3.SA,GGBR3.SA,JBSS3.SA,SOJA3.SA,SUZB3.SA,VALE3.SA
Macro,IPCA,-0.2665,0.2253,0.5768,0.2582,0.3134,0.4525,0.4806,0.4493
Macro,PIB,0.2691,-0.7191,0.0109,0.8483,0.2035,-0.5834,0.2574,0.6768
Macro,Selic,0.5005,-0.7516,-0.3069,0.7020,0.2248,-0.7566,-0.0585,0.4486
Macro,TaxaCambio,-0.1164,0.0442,0.2166,-0.1426,0.0949,0.3134,0.3067,0.0368
Micro,Margem Líquida,-0.0788,0.6308,0.6215,0.5074,0.6447,0.0463,0.4517,0.6359
Micro,P/L,0.2584,0.6834,0.1955,-0.6189,0.3040,0.5834,0.6819,-0.6250
Micro,Preço_anterior,0.9926,0.9975,0.9982,0.9971,0.9971,0.9914,0.9941,0.9974
Micro,ROA,0.0554,0.6373,0.6754,0.5091,0.6617,0.5063,0.4489,0.6120
Micro,ROE,0.1817,0.5550,0.7175,0.5427,0.6981,-0.4449,0.3953,0.6555
Micro,VP,0.2279,-0.7986,-0.2204,-0.5993,-0.4688,0.0000,0.0264,-0.6393
