,Preço,ROA,ROE,Margem Líquida,P/L,VP,Preço_anterior,TaxaCambio,Selic,PIB,IPCA,"('PETR4.SA_Close', 'PETR4.SA')",Preço_feature
2020-01-02,9.825956344604492,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.825956344604492,4.0207,0.017089,7609597000575.82,0.2112903225806451,9.81802463531494,
2020-01-03,9.745941162109377,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.825956344604492,4.0516,0.017089,7609597000575.82,0.2125806451612903,9.738075256347656,9.825956344604492
2020-01-04,9.745941162109377,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.745941162109377,4.052666666666666,0.017089,7609597000575.82,0.2138709677419354,,9.745941162109377
2020-01-05,9.745941162109377,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.745941162109377,4.053733333333334,0.017089,7609597000575.82,0.2151612903225806,,9.745941162109377
2020-01-06,9.861165046691896,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.745941162109377,4.0548,0.017089,7609597000575.82,0.2164516129032258,9.853201866149902,9.745941162109377
2020-01-07,9.82275676727295,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.861165046691896,4.0835,0.017089,7609597000575.82,0.2177419354838709,9.814828872680664,9.861165046691896
2020-01-08,9.761943817138672,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.82275676727295,4.0666,0.017089,7609597000575.82,0.2190322580645161,9.754063606262209,9.82275676727295
2020-01-09,9.729938507080078,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.761943817138672,4.0738,0.017089,7609597000575.82,0.2203225806451612,9.72208309173584,9.761943817138672
2020-01-10,9.68833065032959,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.729938507080078,4.0739,0.017089,7609597000575.82,0.2216129032258064,9.680508613586426,9.729938507080078
2020-01-11,9.68833065032959,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.68833065032959,4.0927,0.017089,7609597000575.82,0.2229032258064516,,9.68833065032959
2020-01-12,9.68833065032959,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.68833065032959,4.1115,0.017089,7609597000575.82,0.2241935483870967,,9.68833065032959
2020-01-13,9.707533836364746,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.68833065032959,4.1303,0.017089,7609597000575.82,0.2254838709677419,9.699697494506836,9.68833065032959
2020-01-14,9.601914405822754,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.707533836364746,4.1437,0.017089,7609597000575.82,0.2267741935483871,9.594161033630373,9.707533836364746
2020-01-15,9.45788288116455,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.601914405822754,4.1616,0.017089,7609597000575.82,0.2280645161290322,9.450246810913086,9.601914405822754
2020-01-16,9.448281288146973,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.45788288116455,4.172,0.017089,7609597000575.82,0.2293548387096774,9.440656661987305,9.45788288116455
2020-01-17,9.553903579711914,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.448281288146973,4.1831,0.017089,7609597000575.82,0.2306451612903226,9.54619026184082,9.448281288146973
2020-01-18,9.553903579711914,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.553903579711914,4.182833333333333,0.017089,7609597000575.82,0.2319354838709677,,9.553903579711914
2020-01-19,9.553903579711914,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.553903579711914,4.182566666666666,0.017089,7609597000575.82,0.2332258064516129,,9.553903579711914
2020-01-20,9.601914405822754,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.553903579711914,4.1823,0.017089,7609597000575.82,0.234516129032258,9.594161033630373,9.553903579711914
2020-01-21,9.480289459228516,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.601914405822754,4.2008,0.017089,7609597000575.82,0.2358064516129032,9.472636222839355,9.601914405822754
2020-01-22,9.374666213989258,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.480289459228516,4.1883,0.017089,7609597000575.82,0.2370967741935483,9.367098808288574,9.480289459228516
2020-01-23,9.489891052246094,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.374666213989258,4.1656,0.017089,7609597000575.82,0.2383870967741935,9.482229232788086,9.374666213989258
2020-01-24,9.377866744995115,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.489891052246094,4.1763,0.017089,7609597000575.82,0.2396774193548387,9.3702974319458,9.489891052246094
2020-01-25,9.377866744995115,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.377866744995115,4.190533333333334,0.017089,7609597000575.82,0.2409677419354838,,9.377866744995115
2020-01-26,9.377866744995115,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.377866744995115,4.204766666666667,0.017089,7609597000575.82,0.242258064516129,,9.377866744995115
2020-01-27,8.971386909484863,0.0060049471080469,0.0874718181029145,0.0212544008345286,76.66772191144138,13044201261.0,9.377866744995115,4.219,0.017089,7609597000575.82,0.2435483870967741,8.964144706726074,9.377866744995115
