,Preço,ROA,ROE,Margem Líquida,P/L,VP,Preço_anterior,TaxaCambio,Selic,PIB,IPCA,Original_Close,Preço_feature,Close_Feature,Close_Target
2020-01-02,19.25687599182129,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.25687599182129,4.0207,0.017089,7609597000575.82,0.2112903225806451,19.25687599182129,19.25687599182129,19.25687599182129,19.44802665710449
2020-01-03,19.44802665710449,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.25687599182129,4.0516,0.017089,7609597000575.82,0.2125806451612903,19.448028564453125,19.25687599182129,19.44802665710449,19.44802665710449
2020-01-04,19.44802665710449,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.44802665710449,4.052666666666666,0.017089,7609597000575.82,0.2138709677419354,19.294634501139324,19.44802665710449,19.44802665710449,19.44802665710449
2020-01-05,19.44802665710449,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.44802665710449,4.053733333333334,0.017089,7609597000575.82,0.2151612903225806,19.14124043782552,19.44802665710449,19.44802665710449,18.987842559814453
2020-01-06,18.987842559814453,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.44802665710449,4.0548,0.017089,7609597000575.82,0.2164516129032258,18.98784637451172,19.44802665710449,18.987842559814453,19.32767105102539
2020-01-07,19.32767105102539,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,18.987842559814453,4.0835,0.017089,7609597000575.82,0.2177419354838709,19.32767105102539,18.987842559814453,19.32767105102539,19.8020133972168
2020-01-08,19.8020133972168,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.32767105102539,4.0666,0.017089,7609597000575.82,0.2190322580645161,19.8020133972168,19.32767105102539,19.8020133972168,20.042722702026367
2020-01-09,20.042722702026367,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.8020133972168,4.0738,0.017089,7609597000575.82,0.2203225806451612,20.042724609375,19.8020133972168,20.042722702026367,19.9365291595459
2020-01-10,19.9365291595459,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,20.042722702026367,4.0739,0.017089,7609597000575.82,0.2216129032258064,19.936527252197266,20.042722702026367,19.9365291595459,19.9365291595459
2020-01-11,19.9365291595459,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.9365291595459,4.0927,0.017089,7609597000575.82,0.2229032258064516,20.071041742960613,19.9365291595459,19.9365291595459,19.9365291595459
2020-01-12,19.9365291595459,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.9365291595459,4.1115,0.017089,7609597000575.82,0.2241935483870967,20.205556233723957,19.9365291595459,19.9365291595459,20.340072631835938
2020-01-13,20.340072631835938,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,19.9365291595459,4.1303,0.017089,7609597000575.82,0.2254838709677419,20.340070724487305,19.9365291595459,20.340072631835938,20.31883430480957
2020-01-14,20.31883430480957,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,20.340072631835938,4.1437,0.017089,7609597000575.82,0.2267741935483871,20.318832397460938,20.340072631835938,20.31883430480957,20.255115509033203
2020-01-15,20.255115509033203,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,20.31883430480957,4.1616,0.017089,7609597000575.82,0.2280645161290322,20.25511741638184,20.31883430480957,20.255115509033203,20.396711349487305
2020-01-16,20.396711349487305,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,20.255115509033203,4.172,0.017089,7609597000575.82,0.2293548387096774,20.396711349487305,20.255115509033203,20.396711349487305,21.062206268310547
2020-01-17,21.062206268310547,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,20.396711349487305,4.1831,0.017089,7609597000575.82,0.2306451612903226,21.062206268310547,20.396711349487305,21.062206268310547,21.062206268310547
2020-01-18,21.062206268310547,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,21.062206268310547,4.182833333333333,0.017089,7609597000575.82,0.2319354838709677,21.07872581481934,21.062206268310547,21.062206268310547,21.062206268310547
2020-01-19,21.062206268310547,0.028072407211432,1.761450567540329,0.0170179101427182,8.975246605012726,2610525146.0,21.062206268310547,4.182566666666666,0.017089,7609597000575.82,0.2332258064516129,21.09524536132813,21.062206268310547,21.062206268310547,21.11176490783692
