Data,Preço Real,Preço Previsto
2023-01-04,7.502371311187744,8.064501
2023-01-05,8.154328346252441,7.841717
2023-01-06,8.407327651977539,8.104641
2023-01-09,8.455979347229004,8.605258
2023-01-10,8.81601619720459,8.787265
2023-01-11,8.232173919677734,8.911861
2023-01-12,8.32948112487793,9.004347
2023-01-13,7.784561634063721,8.63757
2023-01-16,7.36614179611206,8.563875
2023-01-17,7.628870487213136,8.09297
2023-01-18,7.716446876525879,7.8802857
2023-01-19,7.512101650238036,8.077918
2023-01-20,7.687254905700683,8.084529
2023-01-23,7.580216884613038,7.9925227
2023-01-24,7.804023742675782,8.082325
2023-01-25,7.92079210281372,8.067658
2023-01-26,7.979175567626953,8.246904
2023-01-27,7.560755252838134,8.339852
2023-01-30,7.327218532562257,8.272484
2023-01-31,7.745638847351073,7.933655
2023-02-01,8.339211463928223,7.883929
2023-02-02,7.6969852447509775,8.314296
2023-02-03,7.521832942962647,8.548083
2023-02-06,6.9769134521484375,8.074
2023-02-07,6.5001091957092285,7.8188887
2023-02-08,6.714184284210205,7.33539
2023-02-09,6.694723129272461,7.072509
2023-02-10,6.247110843658447,7.209826
2023-02-13,6.723915100097656,7.08405
2023-02-14,6.286033630371094,6.907021
2023-02-15,6.529301166534424,7.1132455
2023-02-16,6.587685585021973,6.8838544
2023-02-17,6.675261974334717,7.0600142
2023-02-22,6.227649688720703,7.120865
2023-02-23,6.32495641708374,7.0662246
2023-02-24,6.286033630371094,6.793727
2023-02-27,6.295763969421387,6.8484597
2023-02-28,5.994112491607666,6.825096
2023-03-01,6.315225601196289,6.7557054
2023-03-02,6.558493137359619,6.6365213
2023-03-03,6.539031982421875,6.910568
2023-03-06,6.996374607086182,7.0671387
2023-03-07,6.704453468322754,7.1695237
2023-03-08,6.889337062835693,7.3999343
2023-03-09,6.801760673522949,7.252465
2023-03-10,6.412532806396484,7.353303
2023-03-13,6.383340358734131,7.1968527
2023-03-14,6.422263145446777,6.93104
2023-03-15,6.50984001159668,6.9214687
2023-03-16,6.50984001159668,6.969346
2023-03-17,6.8114914894104,7.027479
2023-03-20,6.63633918762207,7.103502
2023-03-21,6.412532806396484,7.259777
2023-03-22,5.974651336669922,7.086959
2023-03-23,5.400539875030518,6.8282213
2023-03-24,6.01357364654541,6.3941674
2023-03-27,5.906536102294922,6.1682644
2023-03-28,6.140072822570801,6.546796
2023-03-29,6.178995609283447,6.534551
2023-03-30,6.39307165145874,6.6989913
2023-03-31,6.042766094207764,6.7786
2023-04-03,5.83842134475708,6.8324447
2023-04-04,5.964920520782471,6.5490274
2023-04-05,6.0330352783203125,6.4455314
2023-04-06,5.974651336669922,6.546335
2023-04-10,6.003843307495117,6.5767756
2023-04-11,6.5779547691345215,6.54545
2023-04-12,6.626608371734619,6.708992
2023-04-13,6.120611667633057,7.102136
2023-04-14,6.003843307495117,7.006967
2023-04-17,6.0330352783203125,6.6420994
2023-04-18,5.857882499694824,6.572103
2023-04-19,5.83842134475708,6.5474696
2023-04-20,5.828690528869629,6.4266853
2023-04-24,5.83842134475708,6.411373
2023-04-25,5.750844955444336,6.4073763
2023-04-26,5.750844955444336,6.39186
2023-04-27,5.66326904296875,6.333953
2023-04-28,6.169265270233154,6.312014
2023-05-02,5.916266918182373,6.3809147
2023-05-03,6.149803638458252,6.6523323
2023-05-04,6.247110843658447,6.5434346
2023-05-05,6.383340358734131,6.7225566
2023-05-08,6.830953121185303,6.8213143
2023-05-09,6.98664379119873,7.0243993
2023-05-10,6.869875907897949,7.3611603
2023-05-11,7.2882957458496085,7.4352517
2023-05-12,7.210450172424316,7.4632955
2023-05-15,7.113143444061278,7.7223253
2023-05-16,6.461185932159424,7.6458077
2023-05-17,6.947721004486084,7.4161844
2023-05-18,7.745638847351073,7.105532
2023-05-19,7.969444274902344,7.6308675
2023-05-22,7.930521488189698,8.220239
2023-05-23,7.54129409790039,8.360023
2023-05-24,7.1228742599487305,8.235005
2023-05-25,7.327218532562257,7.8688583
2023-05-26,7.395333766937256,7.641641
2023-05-29,7.181258201599121,7.7951145
2023-05-30,7.074220657348633,7.786298
2023-05-31,7.911060810089111,7.616508
2023-06-01,8.241905212402344,7.7571044
2023-06-02,8.358673095703125,8.400211
2023-06-05,8.417057037353516,8.651536
2023-06-06,8.426788330078125,8.744704
2023-06-07,8.475441932678223,8.78634
2023-06-09,8.592209815979004,8.805285
2023-06-12,8.631132125854492,8.867743
2023-06-13,8.601941108703613,8.956054
2023-06-14,8.893861770629883,8.974723
2023-06-15,9.059284210205078,9.029757
2023-06-16,8.961977005004883,9.268272
2023-06-19,9.000899314880371,9.354601
2023-06-20,9.438780784606934,9.299122
2023-06-21,9.253898620605469,9.437559
2023-06-22,9.10793685913086,9.685015
2023-06-23,9.24416732788086,9.523007
2023-06-26,8.670056343078613,9.459689
2023-06-27,8.436518669128418,9.404178
2023-06-28,8.076482772827148,8.958577
2023-06-29,8.39759635925293,8.710006
2023-06-30,8.670056343078613,8.550628
2023-07-03,8.670056343078613,8.835398
2023-07-04,8.708978652954102,9.0182705
2023-07-05,9.604203224182129,9.028222
2023-07-06,9.146860122680664,9.283562
2023-07-07,9.808547973632812,9.769018
2023-07-10,9.613934516906738,9.630772
2023-07-11,9.438780784606934,10.027004
2023-07-12,9.399857521057129,9.850615
2023-07-13,9.283089637756348,9.722509
2023-07-14,8.660324096679688,9.666283
2023-07-17,8.426788330078125,9.427874
2023-07-18,8.514364242553711,8.949558
2023-07-19,8.485173225402832,8.815223
2023-07-20,8.348941802978516,8.866521
