Data,Acao,Preco,Preco_Executado,Quantidade,Valor_Total,Custos_Operacionais,Saldo_Restante,Valor_Bruto,Lucro_Bruto,Imposto,Valor_Liquido,Vendas_Acumuladas_Mes
2023-03-14,Compra,67.56336975097656,67.57012608795166,147.93519827073953,9996.0,3.9999999999999996,0.0,,,,,
2023-03-15,Venda,67.81222534179688,67.8054441192627,147.93519827073953,,4.012324727847471,10026.799494890829,10030.811819618677,30.799494890829493,0.0,10026.799494890829,10030.811819618677
2023-03-22,Compra,66.01219940185547,66.01880062179565,151.81718965951524,10022.788775092873,4.010719797956331,0.0,,,,,
2023-03-23,Venda,65.2573471069336,65.2508213722229,151.81718965951524,,3.962478529482366,9902.233845176434,9906.196323705915,-120.55492991644006,0.0,9902.233845176434,10030.811819618677
2023-03-30,Compra,66.60114288330078,66.6078029975891,148.6053060779776,9898.272951638362,3.960893538070573,0.0,,,,,
2023-03-31,Venda,66.60114288330078,66.59448276901246,148.6053060779776,,3.95851739799748,9892.334977595703,9896.2934949937,-5.937974042659175,0.0,9892.334977595703,10030.811819618677
2023-04-03,Compra,64.73475646972656,64.74122994537353,152.7369506564541,9888.378043604665,3.956933991038281,0.0,,,,,
2023-04-05,Venda,63.664695739746094,63.65832927017212,152.7369506564541,,3.8891916386442342,9719.089904971943,9722.979096610587,-169.2881386327231,0.0,9719.089904971943,0.0
2023-04-12,Compra,65.95413970947266,65.9607351234436,147.2876591024681,9715.202269009955,3.8876359619887766,0.0,,,,,
2023-04-13,Venda,65.37347412109375,65.36693677368164,147.2876591024681,,3.8510972400378427,9623.892002854569,9627.743100094607,-91.31026615538546,0.0,9623.892002854569,0.0
2023-04-18,Compra,63.24993896484375,63.256263958740234,152.08047146648167,9620.042446053427,3.8495568011418273,0.0,,,,,
2023-04-20,Venda,61.9310188293457,61.92482572746277,152.08047146648167,,3.7670226768449004,9413.789669435408,9417.556692112252,-206.25277661801996,0.0,9413.789669435408,0.0
2023-04-23,Compra,59.69135284423828,59.697321979522705,157.62891603069644,9410.024153567634,3.765515867774163,0.0,,,,,
2023-04-26,Venda,59.52544784545898,59.51949530067443,157.62891603069644,,3.752797410775776,9378.240729528665,9381.993526939441,-31.78342403896898,0.0,9378.240729528665,0.0
2023-04-28,Compra,60.05633163452149,60.062337267684946,156.07933123642468,9374.489433236853,3.7512962918114656,0.0,,,,,
2023-05-04,Venda,57.26919174194336,57.263464822769166,156.07933123642468,,3.575057317527336,8934.068236500814,8937.64329381834,-440.42119673603975,0.0,8934.068236500814,0.0
2023-05-05,Compra,57.26919174194336,57.27491866111755,155.9233049643577,8930.494609206215,3.5736272946003256,0.0,,,,,
2023-05-16,Venda,57.96596908569336,57.96017248878479,155.9233049643577,,3.6149366603022264,9033.726714095264,9037.341650755567,103.23210488904985,0.0,9033.726714095264,9037.341650755567
2023-05-17,Compra,58.048927307128906,58.05473219985962,155.5448260845041,9030.113223409626,3.6134906856381055,0.0,,,,,
2023-06-01,Venda,56.35673522949219,56.35109955596924,155.5448260845041,,3.506048792041525,8761.615931311771,8765.121980103813,-268.49729209785403,0.0,8761.615931311771,0.0
2023-06-02,Compra,56.35673522949219,56.36237090301513,155.38933413588404,8758.111284939247,3.504646372524708,0.0,,,,,
2023-06-06,Venda,56.96227264404297,56.95657641677857,155.38933413588404,,3.540177793625127,8846.904306269193,8850.444484062818,88.7930213299467,0.0,8846.904306269193,8850.444484062818
2023-06-07,Compra,56.96227264404297,56.96796887130737,155.23399762635307,8843.365544546685,3.538761722507677,0.0,,,,,
2023-06-13,Venda,57.25259780883789,57.24687254905701,155.23399762635307,,3.5546643509585807,8883.106213045494,8886.660877396453,39.74066849880929,0.0,8883.106213045494,17737.10536145927
2023-06-16,Compra,57.79178237915039,57.797561557388306,153.6319652818501,8879.552970560275,3.553242485218197,0.0,,,,,
2023-07-02,Venda,54.93827819824219,54.93278437042236,153.6319652818501,,3.375772648492834,8436.055848583594,8439.431621232086,-443.4971219766813,0.0,8436.055848583594,0.0
2023-07-03,Compra,54.6645393371582,54.67000579109192,154.2469459115771,8432.68142624416,3.374422339433437,0.0,,,,,
2023-07-12,Venda,56.91250228881836,56.90681103858948,154.2469459115771,,3.5110807217078595,8774.190723547941,8777.701804269649,341.5092973037809,0.0,8774.190723547941,8777.701804269649
2023-07-13,Compra,56.91250228881836,56.91819353904724,154.09275140191556,8770.681047258522,3.509676289419176,0.0,,,,,
2023-07-23,Venda,57.94108963012695,57.935295521163944,154.09275140191556,,3.570963636055691,8923.838126503173,8927.409090139228,153.1570792446505,0.0,8923.838126503173,17705.110894408877
2023-07-25,Compra,59.52544784545898,59.531400390243526,149.84140357488542,8920.268591252572,3.5695352506012687,0.0,,,,,
2023-07-30,Venda,57.36872863769531,57.36299176483154,149.84140357488542,,3.438140479718781,8591.913058817234,8595.351199296952,-328.35553243533843,0.0,8591.913058817234,17705.110894408877
2023-07-31,Compra,56.57240295410156,56.57806019439697,151.79870543607362,8588.476293593707,3.4367652235268933,0.0,,,,,
2023-08-31,Venda,58.86874771118164,58.862860836410526,151.79870543607362,,3.5741224292923497,8931.731950801583,8935.306073230875,343.2556572078757,0.0,8931.731950801583,8935.306073230875
2023-09-01,Compra,58.86874771118164,58.874634585952755,151.64695833460823,8928.159258021262,3.5726927803206325,0.0,,,,,
2023-09-13,Venda,59.91982650756836,59.913834524917604,151.64695833460823,,3.634300307146716,9082.116467559645,9085.750767866792,153.9572095383831,0.0,9082.116467559645,9085.750767866792
